city,datetime,actual_temperature,actual_rainfall,actual_wind
Chennai,2026-09-22T16:00,25.1,0.0,16.3
Chennai,2026-09-22T17:00,24.3,0.0,14.6
Chennai,2026-09-22T18:00,24.5,0.0,14.4
Chennai,2026-09-22T19:00,25.0,0.0,12.6
Chennai,2026-09-22T20:00,24.8,0.0,10.6
Chennai,2026-09-22T21:00,25.7,0.2,9.5
Chennai,2026-09-22T22:00,27.5,0.7,8.8
Chennai,2026-09-22T23:00,28.6,1.1,9.0
Chennai,2026-09-23T00:00,29.5,0.9,10.1
Chennai,2026-09-23T01:00,31.3,1.3,10.8
Chennai,2026-09-23T02:00,32.2,1.0,14.5
Chennai,2026-09-23T03:00,33.4,0.8,15.8
Chennai,2026-09-23T04:00,34.5,0.6,16.3
Chennai,2026-09-23T05:00,34.2,0.5,14.6
Chennai,2026-09-23T06:00,34.5,0.0,13.3
Chennai,2026-09-23T07:00,34.8,0.0,13.0
Chennai,2026-09-23T08:00,34.0,0.0,10.1
Chennai,2026-09-23T09:00,33.7,0.0,9.2
Chennai,2026-09-23T10:00,32.0,0.0,8.1
Chennai,2026-09-23T11:00,30.5,0.0,8.6
Chennai,2026-09-23T12:00,30.3,0.0,10.9
Chennai,2026-09-23T13:00,28.2,0.0,11.7
Chennai,2026-09-23T14:00,26.9,0.0,14.2
Chennai,2026-09-23T15:00,25.2,0.0,15.3
Chennai,2026-09-23T16:00,24.7,0.0,15.8
Chennai,2026-09-23T17:00,24.4,0.0,15.4
Chennai,2026-09-23T18:00,23.7,0.0,14.3
Chennai,2026-09-23T19:00,24.6,0.0,11.7
Chennai,2026-09-23T20:00,24.7,0.0,11.1
Chennai,2026-09-23T21:00,25.7,0.0,7.9
Chennai,2026-09-23T22:00,26.7,0.0,8.0
Chennai,2026-09-23T23:00,29.0,0.0,8.3
Chennai,2026-09-24T00:00,29.7,0.0,11.3
Chennai,2026-09-24T01:00,30.7,0.0,12.3
Chennai,2026-09-24T02:00,32.7,0.0,15.0
Chennai,2026-09-24T03:00,33.1,0.0,14.4
Chennai,2026-09-24T04:00,34.5,0.0,16.3
Chennai,2026-09-24T05:00,34.2,0.0,16.3
Chennai,2026-09-24T06:00,34.7,0.0,14.2
Chennai,2026-09-24T07:00,35.1,0.0,13.0
Chennai,2026-09-24T08:00,34.7,0.0,9.7
Chennai,2026-09-24T09:00,33.7,0.2,9.8
Chennai,2026-09-24T10:00,32.4,0.5,10.0
Chennai,2026-09-24T11:00,31.0,1.0,8.3
Chennai,2026-09-24T12:00,29.1,1.0,9.8
Chennai,2026-09-24T13:00,28.0,1.0,13.3
Chennai,2026-09-24T14:00,26.7,1.1,15.4
Chennai,2026-09-24T15:00,26.2,1.1,15.2
Chennai,2026-09-24T16:00,25.0,0.5,15.8
Chennai,2026-09-24T17:00,23.7,0.1,15.4
Chennai,2026-09-24T18:00,24.3,0.0,13.0
Chennai,2026-09-24T19:00,24.2,0.0,11.4
Chennai,2026-09-24T20:00,24.6,0.0,9.3
Chennai,2026-09-24T21:00,26.0,0.0,8.0
Chennai,2026-09-24T22:00,27.3,0.0,8.1
Chennai,2026-09-24T23:00,28.7,0.0,8.8
Chennai,2026-09-25T00:00,29.4,0.0,11.4
Chennai,2026-09-25T01:00,31.0,0.0,11.3
Chennai,2026-09-25T02:00,32.5,0.0,14.9
Chennai,2026-09-25T03:00,34.0,0.0,15.5
Chennai,2026-09-25T04:00,34.2,0.0,16.1
Chennai,2026-09-25T05:00,34.9,0.0,16.2
Chennai,2026-09-25T06:00,34.8,0.0,13.2
Chennai,2026-09-25T07:00,34.5,0.0,12.4
Chennai,2026-09-25T08:00,34.7,0.0,10.3
Chennai,2026-09-25T09:00,34.1,0.0,9.0
Chennai,2026-09-25T10:00,32.4,0.0,8.4
Chennai,2026-09-25T11:00,31.5,0.0,10.6
Chennai,2026-09-25T12:00,29.8,0.0,9.6
Chennai,2026-09-25T13:00,28.0,0.0,11.7
Chennai,2026-09-25T14:00,27.0,0.0,13.6
Chennai,2026-09-25T15:00,26.4,0.0,15.2
Delhi,2026-09-22T16:00,24.3,0.0,15.6
Delhi,2026-09-22T17:00,24.4,0.0,16.6
Delhi,2026-09-22T18:00,22.6,0.0,15.3
Delhi,2026-09-22T19:00,24.1,0.0,11.7
Delhi,2026-09-22T20:00,24.3,0.0,9.5
Delhi,2026-09-22T21:00,25.1,0.3,9.0
Delhi,2026-09-22T22:00,26.3,0.6,7.7
Delhi,2026-09-22T23:00,26.9,0.9,9.1
Delhi,2026-09-23T00:00,29.0,1.1,10.3
Delhi,2026-09-23T01:00,30.6,1.1,10.9
Delhi,2026-09-23T02:00,32.4,0.9,15.4
Delhi,2026-09-23T03:00,32.8,0.9,17.1
Delhi,2026-09-23T04:00,33.5,0.6,15.6
Delhi,2026-09-23T05:00,34.2,0.2,15.3
Delhi,2026-09-23T06:00,35.0,0.0,14.4
Delhi,2026-09-23T07:00,34.5,0.0,12.4
Delhi,2026-09-23T08:00,33.6,0.0,10.7
Delhi,2026-09-23T09:00,33.2,0.0,10.2
Delhi,2026-09-23T10:00,31.8,0.0,8.0
Delhi,2026-09-23T11:00,30.9,0.0,8.0
Delhi,2026-09-23T12:00,28.8,0.0,9.0
Delhi,2026-09-23T13:00,27.6,0.0,11.5
Delhi,2026-09-23T14:00,26.1,0.0,14.1
Delhi,2026-09-23T15:00,24.6,0.0,17.1
Delhi,2026-09-23T16:00,24.4,0.0,15.7
Delhi,2026-09-23T17:00,23.9,0.0,15.8
Delhi,2026-09-23T18:00,23.6,0.0,14.1
Delhi,2026-09-23T19:00,23.7,0.0,13.1
Delhi,2026-09-23T20:00,23.7,0.0,12.1
Delhi,2026-09-23T21:00,25.0,0.0,8.2
Delhi,2026-09-23T22:00,26.2,0.0,7.7
Delhi,2026-09-23T23:00,27.4,0.0,9.5
Delhi,2026-09-24T00:00,29.0,0.0,10.7
Delhi,2026-09-24T01:00,30.7,0.0,13.6
Delhi,2026-09-24T02:00,32.6,0.0,14.6
Delhi,2026-09-24T03:00,33.1,0.0,15.3
Delhi,2026-09-24T04:00,33.9,0.0,16.6
Delhi,2026-09-24T05:00,34.4,0.0,16.5
Delhi,2026-09-24T06:00,33.8,0.0,14.8
Delhi,2026-09-24T07:00,34.4,0.0,12.5
Delhi,2026-09-24T08:00,33.8,0.0,11.0
Delhi,2026-09-24T09:00,34.0,0.1,9.6
Delhi,2026-09-24T10:00,31.7,0.5,9.2
Delhi,2026-09-24T11:00,30.6,0.9,9.1
Delhi,2026-09-24T12:00,29.1,1.2,10.0
Delhi,2026-09-24T13:00,27.2,1.1,12.2
Delhi,2026-09-24T14:00,26.8,1.0,15.1
Delhi,2026-09-24T15:00,25.5,0.8,15.0
Delhi,2026-09-24T16:00,24.6,0.6,16.4
Delhi,2026-09-24T17:00,23.4,0.1,15.3
Delhi,2026-09-24T18:00,24.2,0.0,14.1
Delhi,2026-09-24T19:00,23.2,0.0,13.1
Delhi,2026-09-24T20:00,24.5,0.0,10.3
Delhi,2026-09-24T21:00,26.1,0.0,8.7
Delhi,2026-09-24T22:00,25.9,0.0,7.0
Delhi,2026-09-24T23:00,27.5,0.0,9.2
Delhi,2026-09-25T00:00,29.1,0.0,10.6
Delhi,2026-09-25T01:00,30.3,0.0,13.9
Delhi,2026-09-25T02:00,31.2,0.0,13.9
Delhi,2026-09-25T03:00,33.0,0.0,15.8
Delhi,2026-09-25T04:00,33.4,0.0,16.3
Delhi,2026-09-25T05:00,34.6,0.0,16.9
Delhi,2026-09-25T06:00,34.2,0.0,14.0
Delhi,2026-09-25T07:00,35.0,0.0,12.3
Delhi,2026-09-25T08:00,33.5,0.0,10.6
Delhi,2026-09-25T09:00,32.9,0.0,8.8
Delhi,2026-09-25T10:00,32.1,0.0,7.8
Delhi,2026-09-25T11:00,30.0,0.0,8.8
Delhi,2026-09-25T12:00,29.2,0.0,11.0
Delhi,2026-09-25T13:00,28.2,0.0,11.3
Delhi,2026-09-25T14:00,25.7,0.0,14.2
Delhi,2026-09-25T15:00,25.3,0.0,15.1
Guwahati,2026-09-22T16:00,25.3,0.0,17.1
Guwahati,2026-09-22T17:00,24.9,0.0,14.4
Guwahati,2026-09-22T18:00,23.9,0.0,13.7
Guwahati,2026-09-22T19:00,24.1,0.0,12.4
Guwahati,2026-09-22T20:00,25.4,0.0,11.4
Guwahati,2026-09-22T21:00,26.2,0.4,8.6
Guwahati,2026-09-22T22:00,27.3,0.5,7.7
Guwahati,2026-09-22T23:00,28.6,0.9,10.1
Guwahati,2026-09-23T00:00,29.6,1.2,9.0
Guwahati,2026-09-23T01:00,31.5,1.0,10.4
Guwahati,2026-09-23T02:00,32.8,0.9,14.5
Guwahati,2026-09-23T03:00,33.5,0.9,15.2
Guwahati,2026-09-23T04:00,35.4,0.6,15.3
Guwahati,2026-09-23T05:00,35.5,0.3,16.2
Guwahati,2026-09-23T06:00,34.9,0.0,14.3
Guwahati,2026-09-23T07:00,35.6,0.0,11.7
Guwahati,2026-09-23T08:00,34.3,0.0,9.1
Guwahati,2026-09-23T09:00,34.1,0.0,9.3
Guwahati,2026-09-23T10:00,33.2,0.0,8.6
Guwahati,2026-09-23T11:00,31.1,0.0,8.5
Guwahati,2026-09-23T12:00,30.3,0.0,11.6
Guwahati,2026-09-23T13:00,28.7,0.0,11.3
Guwahati,2026-09-23T14:00,27.5,0.0,12.9
Guwahati,2026-09-23T15:00,26.9,0.0,15.1
Guwahati,2026-09-23T16:00,25.1,0.0,16.1
Guwahati,2026-09-23T17:00,24.3,0.0,15.8
Guwahati,2026-09-23T18:00,24.0,0.0,13.9
Guwahati,2026-09-23T19:00,24.3,0.0,12.4
Guwahati,2026-09-23T20:00,25.2,0.0,9.1
Guwahati,2026-09-23T21:00,26.2,0.0,9.8
Guwahati,2026-09-23T22:00,27.3,0.0,8.1
Guwahati,2026-09-23T23:00,28.8,0.0,9.5
Guwahati,2026-09-24T00:00,29.9,0.0,10.4
Guwahati,2026-09-24T01:00,32.0,0.0,12.5
Guwahati,2026-09-24T02:00,32.6,0.0,14.6
Guwahati,2026-09-24T03:00,34.9,0.0,16.0
Guwahati,2026-09-24T04:00,35.0,0.0,16.6
Guwahati,2026-09-24T05:00,35.0,0.0,16.7
Guwahati,2026-09-24T06:00,35.0,0.0,14.3
Guwahati,2026-09-24T07:00,35.5,0.0,12.7
Guwahati,2026-09-24T08:00,34.6,0.0,10.1
Guwahati,2026-09-24T09:00,34.1,0.1,9.8
