city,model,datetime,temperature,rainfall,wind_speed
Delhi,ecmwf_ifs04,2026-09-22T16:00,24.2,0.0,16.0
Delhi,ecmwf_ifs04,2026-09-22T17:00,23.7,0.0,15.5
Delhi,ecmwf_ifs04,2026-09-22T18:00,23.5,0.0,14.0
Delhi,ecmwf_ifs04,2026-09-22T19:00,23.7,0.0,12.0
Delhi,ecmwf_ifs04,2026-09-22T20:00,24.2,0.0,10.0
Delhi,ecmwf_ifs04,2026-09-22T21:00,25.1,0.1,8.5
Delhi,ecmwf_ifs04,2026-09-22T22:00,26.2,0.5,8.0
Delhi,ecmwf_ifs04,2026-09-22T23:00,27.6,0.8,8.5
Delhi,ecmwf_ifs04,2026-09-23T00:00,29.0,0.9,10.0
Delhi,ecmwf_ifs04,2026-09-23T01:00,30.4,1.0,12.0
Delhi,ecmwf_ifs04,2026-09-23T02:00,31.7,0.9,14.0
Delhi,ecmwf_ifs04,2026-09-23T03:00,32.9,0.8,15.5
Delhi,ecmwf_ifs04,2026-09-23T04:00,33.7,0.5,16.0
Delhi,ecmwf_ifs04,2026-09-23T05:00,34.3,0.1,15.5
Delhi,ecmwf_ifs04,2026-09-23T06:00,34.5,0.0,14.0
Delhi,ecmwf_ifs04,2026-09-23T07:00,34.3,0.0,12.0
Delhi,ecmwf_ifs04,2026-09-23T08:00,33.7,0.0,10.0
Delhi,ecmwf_ifs04,2026-09-23T09:00,32.9,0.0,8.5
Delhi,ecmwf_ifs04,2026-09-23T10:00,31.7,0.0,8.0
Delhi,ecmwf_ifs04,2026-09-23T11:00,30.4,0.0,8.5
Delhi,ecmwf_ifs04,2026-09-23T12:00,29.0,0.0,10.0
Delhi,ecmwf_ifs04,2026-09-23T13:00,27.6,0.0,12.0
Delhi,ecmwf_ifs04,2026-09-23T14:00,26.2,0.0,14.0
Delhi,ecmwf_ifs04,2026-09-23T15:00,25.1,0.0,15.5
Delhi,ecmwf_ifs04,2026-09-23T16:00,24.2,0.0,16.0
Delhi,ecmwf_ifs04,2026-09-23T17:00,23.7,0.0,15.5
Delhi,ecmwf_ifs04,2026-09-23T18:00,23.5,0.0,14.0
Delhi,ecmwf_ifs04,2026-09-23T19:00,23.7,0.0,12.0
Delhi,ecmwf_ifs04,2026-09-23T20:00,24.2,0.0,10.0
Delhi,ecmwf_ifs04,2026-09-23T21:00,25.1,0.0,8.5
Delhi,ecmwf_ifs04,2026-09-23T22:00,26.2,0.0,8.0
Delhi,ecmwf_ifs04,2026-09-23T23:00,27.6,0.0,8.5
Delhi,ecmwf_ifs04,2026-09-24T00:00,29.0,0.0,10.0
Delhi,ecmwf_ifs04,2026-09-24T01:00,30.4,0.0,12.0
Delhi,ecmwf_ifs04,2026-09-24T02:00,31.7,0.0,14.0
Delhi,ecmwf_ifs04,2026-09-24T03:00,32.9,0.0,15.5
Delhi,ecmwf_ifs04,2026-09-24T04:00,33.7,0.0,16.0
Delhi,ecmwf_ifs04,2026-09-24T05:00,34.3,0.0,15.5
Delhi,ecmwf_ifs04,2026-09-24T06:00,34.5,0.0,14.0
Delhi,ecmwf_ifs04,2026-09-24T07:00,34.3,0.0,12.0
Delhi,ecmwf_ifs04,2026-09-24T08:00,33.7,0.0,10.0
Delhi,ecmwf_ifs04,2026-09-24T09:00,32.9,0.1,8.5
Delhi,ecmwf_ifs04,2026-09-24T10:00,31.7,0.5,8.0
Delhi,ecmwf_ifs04,2026-09-24T11:00,30.4,0.8,8.5
Delhi,ecmwf_ifs04,2026-09-24T12:00,29.0,0.9,10.0
Delhi,ecmwf_ifs04,2026-09-24T13:00,27.6,1.0,12.0
Delhi,ecmwf_ifs04,2026-09-24T14:00,26.2,0.9,14.0
Delhi,ecmwf_ifs04,2026-09-24T15:00,25.1,0.8,15.5
Delhi,ecmwf_ifs04,2026-09-24T16:00,24.2,0.5,16.0
Delhi,ecmwf_ifs04,2026-09-24T17:00,23.7,0.1,15.5
Delhi,ecmwf_ifs04,2026-09-24T18:00,23.5,0.0,14.0
Delhi,ecmwf_ifs04,2026-09-24T19:00,23.7,0.0,12.0
Delhi,ecmwf_ifs04,2026-09-24T20:00,24.2,0.0,10.0
Delhi,ecmwf_ifs04,2026-09-24T21:00,25.1,0.0,8.5
Delhi,ecmwf_ifs04,2026-09-24T22:00,26.2,0.0,8.0
Delhi,ecmwf_ifs04,2026-09-24T23:00,27.6,0.0,8.5
Delhi,ecmwf_ifs04,2026-09-25T00:00,29.0,0.0,10.0
Delhi,ecmwf_ifs04,2026-09-25T01:00,30.4,0.0,12.0
Delhi,ecmwf_ifs04,2026-09-25T02:00,31.7,0.0,14.0
Delhi,ecmwf_ifs04,2026-09-25T03:00,32.9,0.0,15.5
Delhi,ecmwf_ifs04,2026-09-25T04:00,33.7,0.0,16.0
Delhi,ecmwf_ifs04,2026-09-25T05:00,34.3,0.0,15.5
Delhi,ecmwf_ifs04,2026-09-25T06:00,34.5,0.0,14.0
Delhi,ecmwf_ifs04,2026-09-25T07:00,34.3,0.0,12.0
Delhi,ecmwf_ifs04,2026-09-25T08:00,33.7,0.0,10.0
Delhi,ecmwf_ifs04,2026-09-25T09:00,32.9,0.0,8.5
Delhi,ecmwf_ifs04,2026-09-25T10:00,31.7,0.0,8.0
Delhi,ecmwf_ifs04,2026-09-25T11:00,30.4,0.0,8.5
Delhi,ecmwf_ifs04,2026-09-25T12:00,29.0,0.0,10.0
Delhi,ecmwf_ifs04,2026-09-25T13:00,27.6,0.0,12.0
Delhi,ecmwf_ifs04,2026-09-25T14:00,26.2,0.0,14.0
Delhi,ecmwf_ifs04,2026-09-25T15:00,25.1,0.0,15.5
Delhi,gfs_seamless,2026-09-22T16:00,24.7,0.0,16.2
Delhi,gfs_seamless,2026-09-22T17:00,24.2,0.0,15.7
Delhi,gfs_seamless,2026-09-22T18:00,24.0,0.0,14.2
Delhi,gfs_seamless,2026-09-22T19:00,24.2,0.0,12.2
Delhi,gfs_seamless,2026-09-22T20:00,24.7,0.0,10.2
Delhi,gfs_seamless,2026-09-22T21:00,25.6,0.1,8.7
Delhi,gfs_seamless,2026-09-22T22:00,26.7,0.5,8.2
Delhi,gfs_seamless,2026-09-22T23:00,28.1,0.8,8.7
Delhi,gfs_seamless,2026-09-23T00:00,29.5,0.9,10.2
Delhi,gfs_seamless,2026-09-23T01:00,30.9,1.0,12.2
Delhi,gfs_seamless,2026-09-23T02:00,32.2,0.9,14.2
Delhi,gfs_seamless,2026-09-23T03:00,33.4,0.8,15.7
Delhi,gfs_seamless,2026-09-23T04:00,34.2,0.5,16.2
Delhi,gfs_seamless,2026-09-23T05:00,34.8,0.1,15.7
Delhi,gfs_seamless,2026-09-23T06:00,35.0,0.0,14.2
Delhi,gfs_seamless,2026-09-23T07:00,34.8,0.0,12.2
Delhi,gfs_seamless,2026-09-23T08:00,34.2,0.0,10.2
Delhi,gfs_seamless,2026-09-23T09:00,33.4,0.0,8.7
Delhi,gfs_seamless,2026-09-23T10:00,32.2,0.0,8.2
Delhi,gfs_seamless,2026-09-23T11:00,30.9,0.0,8.7
Delhi,gfs_seamless,2026-09-23T12:00,29.5,0.0,10.2
Delhi,gfs_seamless,2026-09-23T13:00,28.1,0.0,12.2
Delhi,gfs_seamless,2026-09-23T14:00,26.7,0.0,14.2
Delhi,gfs_seamless,2026-09-23T15:00,25.6,0.0,15.7
Delhi,gfs_seamless,2026-09-23T16:00,24.7,0.0,16.2
Delhi,gfs_seamless,2026-09-23T17:00,24.2,0.0,15.7
Delhi,gfs_seamless,2026-09-23T18:00,24.0,0.0,14.2
Delhi,gfs_seamless,2026-09-23T19:00,24.2,0.0,12.2
Delhi,gfs_seamless,2026-09-23T20:00,24.7,0.0,10.2
Delhi,gfs_seamless,2026-09-23T21:00,25.6,0.0,8.7
Delhi,gfs_seamless,2026-09-23T22:00,26.7,0.0,8.2
