city,model,datetime,lead_hours,temperature,rainfall,wind_speed
Chennai,ecmwf,2026-09-23T00:00:00,0,24.8,0.0,16.0
Chennai,ecmwf,2026-09-23T01:00:00,1,24.3,0.0,15.5
Chennai,ecmwf,2026-09-23T02:00:00,2,24.1,0.0,14.0
Chennai,ecmwf,2026-09-23T03:00:00,3,24.3,0.0,12.0
Chennai,ecmwf,2026-09-23T04:00:00,4,24.8,0.0,10.0
Chennai,ecmwf,2026-09-23T05:00:00,5,25.7,0.1,8.5
Chennai,ecmwf,2026-09-23T06:00:00,6,26.8,0.5,8.0
Chennai,ecmwf,2026-09-23T07:00:00,7,28.2,0.8,8.5
Chennai,ecmwf,2026-09-23T08:00:00,8,29.6,0.9,10.0
Chennai,ecmwf,2026-09-23T09:00:00,9,31.0,1.0,12.0
Chennai,ecmwf,2026-09-23T10:00:00,10,32.3,0.9,14.0
Chennai,ecmwf,2026-09-23T11:00:00,11,33.5,0.8,15.5
Chennai,ecmwf,2026-09-23T12:00:00,12,34.3,0.5,16.0
Chennai,ecmwf,2026-09-23T13:00:00,13,34.9,0.1,15.5
Chennai,ecmwf,2026-09-23T14:00:00,14,35.1,0.0,14.0
Chennai,ecmwf,2026-09-23T15:00:00,15,34.9,0.0,12.0
Chennai,ecmwf,2026-09-23T16:00:00,16,34.3,0.0,10.0
Chennai,ecmwf,2026-09-23T17:00:00,17,33.5,0.0,8.5
Chennai,ecmwf,2026-09-23T18:00:00,18,32.3,0.0,8.0
Chennai,ecmwf,2026-09-23T19:00:00,19,31.0,0.0,8.5
Chennai,ecmwf,2026-09-23T20:00:00,20,29.6,0.0,10.0
Chennai,ecmwf,2026-09-23T21:00:00,21,28.2,0.0,12.0
Chennai,ecmwf,2026-09-23T22:00:00,22,26.8,0.0,14.0
Chennai,ecmwf,2026-09-23T23:00:00,23,25.7,0.0,15.5
Chennai,ecmwf,2026-09-24T00:00:00,24,24.8,0.0,16.0
Chennai,ecmwf,2026-09-24T01:00:00,25,24.3,0.0,15.5
Chennai,ecmwf,2026-09-24T02:00:00,26,24.1,0.0,14.0
Chennai,ecmwf,2026-09-24T03:00:00,27,24.3,0.0,12.0
Chennai,ecmwf,2026-09-24T04:00:00,28,24.8,0.0,10.0
Chennai,ecmwf,2026-09-24T05:00:00,29,25.7,0.0,8.5
Chennai,ecmwf,2026-09-24T06:00:00,30,26.8,0.0,8.0
Chennai,ecmwf,2026-09-24T07:00:00,31,28.2,0.0,8.5
Chennai,ecmwf,2026-09-24T08:00:00,32,29.6,0.0,10.0
Chennai,ecmwf,2026-09-24T09:00:00,33,31.0,0.0,12.0
Chennai,ecmwf,2026-09-24T10:00:00,34,32.3,0.0,14.0
Chennai,ecmwf,2026-09-24T11:00:00,35,33.5,0.0,15.5
Chennai,ecmwf,2026-09-24T12:00:00,36,34.3,0.0,16.0
Chennai,ecmwf,2026-09-24T13:00:00,37,34.9,0.0,15.5
Chennai,ecmwf,2026-09-24T14:00:00,38,35.1,0.0,14.0
Chennai,ecmwf,2026-09-24T15:00:00,39,34.9,0.0,12.0
Chennai,ecmwf,2026-09-24T16:00:00,40,34.3,0.0,10.0
Chennai,ecmwf,2026-09-24T17:00:00,41,33.5,0.1,8.5
Chennai,ecmwf,2026-09-24T18:00:00,42,32.3,0.5,8.0
Chennai,ecmwf,2026-09-24T19:00:00,43,31.0,0.8,8.5
Chennai,ecmwf,2026-09-24T20:00:00,44,29.6,0.9,10.0
Chennai,ecmwf,2026-09-24T21:00:00,45,28.2,1.0,12.0
Chennai,ecmwf,2026-09-24T22:00:00,46,26.8,0.9,14.0
Chennai,ecmwf,2026-09-24T23:00:00,47,25.7,0.8,15.5
Chennai,ecmwf,2026-09-25T00:00:00,48,24.8,0.5,16.0
Chennai,ecmwf,2026-09-25T01:00:00,49,24.3,0.1,15.5
Chennai,ecmwf,2026-09-25T02:00:00,50,24.1,0.0,14.0
Chennai,ecmwf,2026-09-25T03:00:00,51,24.3,0.0,12.0
Chennai,ecmwf,2026-09-25T04:00:00,52,24.8,0.0,10.0
Chennai,ecmwf,2026-09-25T05:00:00,53,25.7,0.0,8.5
Chennai,ecmwf,2026-09-25T06:00:00,54,26.8,0.0,8.0
Chennai,ecmwf,2026-09-25T07:00:00,55,28.2,0.0,8.5
Chennai,ecmwf,2026-09-25T08:00:00,56,29.6,0.0,10.0
Chennai,ecmwf,2026-09-25T09:00:00,57,31.0,0.0,12.0
Chennai,ecmwf,2026-09-25T10:00:00,58,32.3,0.0,14.0
Chennai,ecmwf,2026-09-25T11:00:00,59,33.5,0.0,15.5
Chennai,ecmwf,2026-09-25T12:00:00,60,34.3,0.0,16.0
Chennai,ecmwf,2026-09-25T13:00:00,61,34.9,0.0,15.5
Chennai,ecmwf,2026-09-25T14:00:00,62,35.1,0.0,14.0
Chennai,ecmwf,2026-09-25T15:00:00,63,34.9,0.0,12.0
Chennai,ecmwf,2026-09-25T16:00:00,64,34.3,0.0,10.0
Chennai,ecmwf,2026-09-25T17:00:00,65,33.5,0.0,8.5
Chennai,ecmwf,2026-09-25T18:00:00,66,32.3,0.0,8.0
Chennai,ecmwf,2026-09-25T19:00:00,67,31.0,0.0,8.5
Chennai,ecmwf,2026-09-25T20:00:00,68,29.6,0.0,10.0
Chennai,ecmwf,2026-09-25T21:00:00,69,28.2,0.0,12.0
Chennai,ecmwf,2026-09-25T22:00:00,70,26.8,0.0,14.0
Chennai,ecmwf,2026-09-25T23:00:00,71,25.7,0.0,15.5
Chennai,ecmwf,2026-09-26T00:00:00,72,24.8,0.0,16.0
Chennai,ecmwf,2026-09-26T01:00:00,73,24.3,0.0,15.5
Chennai,ecmwf,2026-09-26T02:00:00,74,24.1,0.0,14.0
Chennai,ecmwf,2026-09-26T03:00:00,75,24.3,0.0,12.0
Chennai,ecmwf,2026-09-26T04:00:00,76,24.8,0.0,10.0
