city,model,datetime,lead_hours,temperature,rainfall,wind_speed
Chennai,gem,2026-09-23T00:00:00,0,27.1,0.0,20.5
Chennai,gem,2026-09-23T01:00:00,1,26.8,0.0,23.0
Chennai,gem,2026-09-23T02:00:00,2,27.2,0.0,23.0
Chennai,gem,2026-09-23T03:00:00,3,27.8,0.0,21.6
Chennai,gem,2026-09-23T04:00:00,4,28.7,0.0,21.6
Chennai,gem,2026-09-23T05:00:00,5,29.8,0.0,22.7
Chennai,gem,2026-09-23T06:00:00,6,30.7,0.0,22.3
Chennai,gem,2026-09-23T07:00:00,7,30.9,0.0,20.9
Chennai,gem,2026-09-23T08:00:00,8,31.6,0.0,18.4
Chennai,gem,2026-09-23T09:00:00,9,32.9,0.0,16.2
Chennai,gem,2026-09-23T10:00:00,10,32.8,0.0,16.9
Chennai,gem,2026-09-23T11:00:00,11,32.2,0.0,13.7
Chennai,gem,2026-09-23T12:00:00,12,31.7,0.0,8.3
Chennai,gem,2026-09-23T13:00:00,13,30.9,0.0,7.2
Chennai,gem,2026-09-23T14:00:00,14,29.0,0.7,11.9
Chennai,gem,2026-09-23T15:00:00,15,27.7,0.1,10.4
Chennai,gem,2026-09-23T16:00:00,16,27.5,0.0,7.6
Chennai,gem,2026-09-23T17:00:00,17,27.7,0.0,5.4
Chennai,gem,2026-09-23T18:00:00,18,27.8,0.0,9.0
Chennai,gem,2026-09-23T19:00:00,19,28.2,0.0,15.1
Chennai,gem,2026-09-23T20:00:00,20,28.3,0.0,18.7
Chennai,gem,2026-09-23T21:00:00,21,28.2,0.0,20.2
Chennai,gem,2026-09-23T22:00:00,22,27.8,0.0,20.2
Chennai,gem,2026-09-23T23:00:00,23,27.5,0.0,20.9
Chennai,gem,2026-09-24T00:00:00,24,27.2,0.0,19.8
Chennai,gem,2026-09-24T01:00:00,25,27.1,0.0,19.1
Chennai,gem,2026-09-24T02:00:00,26,27.8,0.0,18.7
Chennai,gem,2026-09-24T03:00:00,27,28.7,0.0,18.0
Chennai,gem,2026-09-24T04:00:00,28,29.8,0.0,19.1
Chennai,gem,2026-09-24T05:00:00,29,30.8,0.0,20.2
Chennai,gem,2026-09-24T06:00:00,30,32.0,0.0,20.2
Chennai,gem,2026-09-24T07:00:00,31,33.0,0.0,19.1
Chennai,gem,2026-09-24T08:00:00,32,33.9,0.0,18.4
Chennai,gem,2026-09-24T09:00:00,33,34.0,0.0,16.9
Chennai,gem,2026-09-24T10:00:00,34,34.2,0.0,15.1
Chennai,gem,2026-09-24T11:00:00,35,34.1,0.0,13.3
Chennai,gem,2026-09-24T12:00:00,36,30.9,0.8,15.8
Chennai,gem,2026-09-24T13:00:00,37,28.5,1.0,8.6
Chennai,gem,2026-09-24T14:00:00,38,28.3,0.4,7.9
Chennai,gem,2026-09-24T15:00:00,39,25.9,1.0,37.1
Chennai,gem,2026-09-24T16:00:00,40,25.4,2.3,23.0
Chennai,gem,2026-09-24T17:00:00,41,27.1,0.1,10.4
Chennai,gem,2026-09-24T18:00:00,42,26.7,0.0,18.7
Chennai,gem,2026-09-24T19:00:00,43,26.7,0.0,23.0
Chennai,gem,2026-09-24T20:00:00,44,27.1,0.0,20.9
Chennai,gem,2026-09-24T21:00:00,45,27.1,0.0,22.0
Chennai,gem,2026-09-24T22:00:00,46,27.0,0.0,21.2
Chennai,gem,2026-09-24T23:00:00,47,26.9,0.0,18.0
Chennai,gem,2026-09-25T00:00:00,48,26.7,0.0,15.8
Chennai,gem,2026-09-25T01:00:00,49,26.7,0.0,16.2
Chennai,gem,2026-09-25T02:00:00,50,27.5,0.0,17.6
Chennai,gem,2026-09-25T03:00:00,51,28.6,0.0,18.7
Chennai,gem,2026-09-25T04:00:00,52,30.1,0.0,21.2
Chennai,gem,2026-09-25T05:00:00,53,31.5,0.0,22.7
Chennai,gem,2026-09-25T06:00:00,54,32.5,0.0,20.5
Chennai,gem,2026-09-25T07:00:00,55,33.5,0.0,18.7
Chennai,gem,2026-09-25T08:00:00,56,34.0,0.0,16.2
Chennai,gem,2026-09-25T09:00:00,57,34.3,0.0,13.3
Chennai,gem,2026-09-25T10:00:00,58,30.9,0.8,17.3
Chennai,gem,2026-09-25T11:00:00,59,28.0,0.7,8.3
Chennai,gem,2026-09-25T12:00:00,60,26.7,1.3,3.2
Chennai,gem,2026-09-25T13:00:00,61,26.6,0.5,15.8
Chennai,gem,2026-09-25T14:00:00,62,26.6,0.2,9.0
Chennai,gem,2026-09-25T15:00:00,63,26.3,0.6,5.8
Chennai,gem,2026-09-25T16:00:00,64,26.2,0.2,5.8
Chennai,gem,2026-09-25T17:00:00,65,26.4,0.0,4.0
Chennai,gem,2026-09-25T18:00:00,66,26.6,0.0,4.3
Chennai,gem,2026-09-25T19:00:00,67,26.6,0.4,5.0
Chennai,gem,2026-09-25T20:00:00,68,26.3,0.5,4.0
Chennai,gem,2026-09-25T21:00:00,69,26.6,0.1,8.3
Chennai,gem,2026-09-25T22:00:00,70,26.9,0.0,12.2
Chennai,gem,2026-09-25T23:00:00,71,26.8,0.0,13.3
Chennai,gem,2026-09-26T00:00:00,72,26.5,0.0,14.8
