city,model,datetime,lead_hours,temperature,rainfall,wind_speed
Agartala,gfs,2026-06-25T00:00:00,0,26.4,0.0,16.2
Agartala,gfs,2026-06-25T01:00:00,1,25.8,0.0,15.7
Agartala,gfs,2026-06-25T02:00:00,2,25.7,0.0,14.2
Agartala,gfs,2026-06-25T03:00:00,3,25.8,0.0,12.2
Agartala,gfs,2026-06-25T04:00:00,4,26.4,0.0,10.2
Agartala,gfs,2026-06-25T05:00:00,5,27.3,0.1,8.7
Agartala,gfs,2026-06-25T06:00:00,6,28.4,0.5,8.2
Agartala,gfs,2026-06-25T07:00:00,7,29.7,0.8,8.7
Agartala,gfs,2026-06-25T08:00:00,8,31.2,0.9,10.2
Agartala,gfs,2026-06-25T09:00:00,9,32.6,1.0,12.2
Agartala,gfs,2026-06-25T10:00:00,10,33.9,0.9,14.2
Agartala,gfs,2026-06-25T11:00:00,11,35.0,0.8,15.7
Agartala,gfs,2026-06-25T12:00:00,12,35.9,0.5,16.2
Agartala,gfs,2026-06-25T13:00:00,13,36.5,0.1,15.7
Agartala,gfs,2026-06-25T14:00:00,14,36.7,0.0,14.2
Agartala,gfs,2026-06-25T15:00:00,15,36.5,0.0,12.2
Agartala,gfs,2026-06-25T16:00:00,16,35.9,0.0,10.2
Agartala,gfs,2026-06-25T17:00:00,17,35.0,0.0,8.7
Agartala,gfs,2026-06-25T18:00:00,18,33.9,0.0,8.2
Agartala,gfs,2026-06-25T19:00:00,19,32.6,0.0,8.7
Agartala,gfs,2026-06-25T20:00:00,20,31.2,0.0,10.2
Agartala,gfs,2026-06-25T21:00:00,21,29.7,0.0,12.2
Agartala,gfs,2026-06-25T22:00:00,22,28.4,0.0,14.2
Agartala,gfs,2026-06-25T23:00:00,23,27.3,0.0,15.7
Agartala,gfs,2026-06-26T00:00:00,24,26.4,0.0,16.2
Agartala,gfs,2026-06-26T01:00:00,25,25.8,0.0,15.7
Agartala,gfs,2026-06-26T02:00:00,26,25.7,0.0,14.2
Agartala,gfs,2026-06-26T03:00:00,27,25.8,0.0,12.2
Agartala,gfs,2026-06-26T04:00:00,28,26.4,0.0,10.2
Agartala,gfs,2026-06-26T05:00:00,29,27.3,0.0,8.7
Agartala,gfs,2026-06-26T06:00:00,30,28.4,0.0,8.2
Agartala,gfs,2026-06-26T07:00:00,31,29.7,0.0,8.7
Agartala,gfs,2026-06-26T08:00:00,32,31.2,0.0,10.2
Agartala,gfs,2026-06-26T09:00:00,33,32.6,0.0,12.2
Agartala,gfs,2026-06-26T10:00:00,34,33.9,0.0,14.2
Agartala,gfs,2026-06-26T11:00:00,35,35.0,0.0,15.7
Agartala,gfs,2026-06-26T12:00:00,36,35.9,0.0,16.2
Agartala,gfs,2026-06-26T13:00:00,37,36.5,0.0,15.7
Agartala,gfs,2026-06-26T14:00:00,38,36.7,0.0,14.2
Agartala,gfs,2026-06-26T15:00:00,39,36.5,0.0,12.2
Agartala,gfs,2026-06-26T16:00:00,40,35.9,0.0,10.2
Agartala,gfs,2026-06-26T17:00:00,41,35.0,0.1,8.7
Agartala,gfs,2026-06-26T18:00:00,42,33.9,0.5,8.2
Agartala,gfs,2026-06-26T19:00:00,43,32.6,0.8,8.7
Agartala,gfs,2026-06-26T20:00:00,44,31.2,0.9,10.2
Agartala,gfs,2026-06-26T21:00:00,45,29.7,1.0,12.2
Agartala,gfs,2026-06-26T22:00:00,46,28.4,0.9,14.2
Agartala,gfs,2026-06-26T23:00:00,47,27.3,0.8,15.7
Agartala,gfs,2026-06-27T00:00:00,48,26.4,0.5,16.2
Agartala,gfs,2026-06-27T01:00:00,49,25.8,0.1,15.7
Agartala,gfs,2026-06-27T02:00:00,50,25.7,0.0,14.2
Agartala,gfs,2026-06-27T03:00:00,51,25.8,0.0,12.2
Agartala,gfs,2026-06-27T04:00:00,52,26.4,0.0,10.2
Agartala,gfs,2026-06-27T05:00:00,53,27.3,0.0,8.7
Agartala,gfs,2026-06-27T06:00:00,54,28.4,0.0,8.2
Agartala,gfs,2026-06-27T07:00:00,55,29.7,0.0,8.7
Agartala,gfs,2026-06-27T08:00:00,56,31.2,0.0,10.2
Agartala,gfs,2026-06-27T09:00:00,57,32.6,0.0,12.2
Agartala,gfs,2026-06-27T10:00:00,58,33.9,0.0,14.2
