city,model,datetime,lead_hours,temperature,rainfall,wind_speed
Agartala,icon,2026-06-25T00:00:00,0,25.6,0.0,15.9
Agartala,icon,2026-06-25T01:00:00,1,25.0,0.0,15.4
Agartala,icon,2026-06-25T02:00:00,2,24.9,0.0,13.9
Agartala,icon,2026-06-25T03:00:00,3,25.0,0.0,11.9
Agartala,icon,2026-06-25T04:00:00,4,25.6,0.0,9.9
Agartala,icon,2026-06-25T05:00:00,5,26.5,0.1,8.4
Agartala,icon,2026-06-25T06:00:00,6,27.6,0.5,7.9
Agartala,icon,2026-06-25T07:00:00,7,28.9,0.8,8.4
Agartala,icon,2026-06-25T08:00:00,8,30.4,0.9,9.9
Agartala,icon,2026-06-25T09:00:00,9,31.8,1.0,11.9
Agartala,icon,2026-06-25T10:00:00,10,33.1,0.9,13.9
Agartala,icon,2026-06-25T11:00:00,11,34.2,0.8,15.4
Agartala,icon,2026-06-25T12:00:00,12,35.1,0.5,15.9
Agartala,icon,2026-06-25T13:00:00,13,35.7,0.1,15.4
Agartala,icon,2026-06-25T14:00:00,14,35.9,0.0,13.9
Agartala,icon,2026-06-25T15:00:00,15,35.7,0.0,11.9
Agartala,icon,2026-06-25T16:00:00,16,35.1,0.0,9.9
Agartala,icon,2026-06-25T17:00:00,17,34.2,0.0,8.4
Agartala,icon,2026-06-25T18:00:00,18,33.1,0.0,7.9
Agartala,icon,2026-06-25T19:00:00,19,31.8,0.0,8.4
Agartala,icon,2026-06-25T20:00:00,20,30.4,0.0,9.9
Agartala,icon,2026-06-25T21:00:00,21,28.9,0.0,11.9
Agartala,icon,2026-06-25T22:00:00,22,27.6,0.0,13.9
Agartala,icon,2026-06-25T23:00:00,23,26.5,0.0,15.4
Agartala,icon,2026-06-26T00:00:00,24,25.6,0.0,15.9
Agartala,icon,2026-06-26T01:00:00,25,25.0,0.0,15.4
Agartala,icon,2026-06-26T02:00:00,26,24.9,0.0,13.9
Agartala,icon,2026-06-26T03:00:00,27,25.0,0.0,11.9
Agartala,icon,2026-06-26T04:00:00,28,25.6,0.0,9.9
Agartala,icon,2026-06-26T05:00:00,29,26.5,0.0,8.4
Agartala,icon,2026-06-26T06:00:00,30,27.6,0.0,7.9
Agartala,icon,2026-06-26T07:00:00,31,28.9,0.0,8.4
Agartala,icon,2026-06-26T08:00:00,32,30.4,0.0,9.9
Agartala,icon,2026-06-26T09:00:00,33,31.8,0.0,11.9
Agartala,icon,2026-06-26T10:00:00,34,33.1,0.0,13.9
Agartala,icon,2026-06-26T11:00:00,35,34.2,0.0,15.4
Agartala,icon,2026-06-26T12:00:00,36,35.1,0.0,15.9
Agartala,icon,2026-06-26T13:00:00,37,35.7,0.0,15.4
Agartala,icon,2026-06-26T14:00:00,38,35.9,0.0,13.9
Agartala,icon,2026-06-26T15:00:00,39,35.7,0.0,11.9
Agartala,icon,2026-06-26T16:00:00,40,35.1,0.0,9.9
Agartala,icon,2026-06-26T17:00:00,41,34.2,0.1,8.4
Agartala,icon,2026-06-26T18:00:00,42,33.1,0.5,7.9
Agartala,icon,2026-06-26T19:00:00,43,31.8,0.8,8.4
Agartala,icon,2026-06-26T20:00:00,44,30.4,0.9,9.9
Agartala,icon,2026-06-26T21:00:00,45,28.9,1.0,11.9
Agartala,icon,2026-06-26T22:00:00,46,27.6,0.9,13.9
Agartala,icon,2026-06-26T23:00:00,47,26.5,0.8,15.4
Agartala,icon,2026-06-27T00:00:00,48,25.6,0.5,15.9
Agartala,icon,2026-06-27T01:00:00,49,25.0,0.1,15.4
Agartala,icon,2026-06-27T02:00:00,50,24.9,0.0,13.9
Agartala,icon,2026-06-27T03:00:00,51,25.0,0.0,11.9
Agartala,icon,2026-06-27T04:00:00,52,25.6,0.0,9.9
Agartala,icon,2026-06-27T05:00:00,53,26.5,0.0,8.4
Agartala,icon,2026-06-27T06:00:00,54,27.6,0.0,7.9
Agartala,icon,2026-06-27T07:00:00,55,28.9,0.0,8.4
Agartala,icon,2026-06-27T08:00:00,56,30.4,0.0,9.9
Agartala,icon,2026-06-27T09:00:00,57,31.8,0.0,11.9
Agartala,icon,2026-06-27T10:00:00,58,33.1,0.0,13.9
Agartala,icon,2026-06-27T11:00:00,59,34.2,0.0,15.4
Agartala,icon,2026-06-27T12:00:00,60,35.1,0.0,15.9
Agartala,icon,2026-06-27T13:00:00,61,35.7,0.0,15.4
Agartala,icon,2026-06-27T14:00:00,62,35.9,0.0,13.9
Agartala,icon,2026-06-27T15:00:00,63,35.7,0.0,11.9
Agartala,icon,2026-06-27T16:00:00,64,35.1,0.0,9.9
Agartala,icon,2026-06-27T17:00:00,65,34.2,0.0,8.4
Agartala,icon,2026-06-27T18:00:00,66,33.1,0.0,7.9
Agartala,icon,2026-06-27T19:00:00,67,31.8,0.0,8.4
Agartala,icon,2026-06-27T20:00:00,68,30.4,0.0,9.9
Agartala,icon,2026-06-27T21:00:00,69,28.9,0.0,11.9
Agartala,icon,2026-06-27T22:00:00,70,27.6,0.0,13.9
Agartala,icon,2026-06-27T23:00:00,71,26.5,0.0,15.4
Agartala,icon,2026-06-28T00:00:00,72,25.6,0.0,15.9
Agartala,icon,2026-06-28T01:00:00,73,25.0,0.0,15.4
Agartala,icon,2026-06-28T02:00:00,74,24.9,0.0,13.9
Agartala,icon,2026-06-28T03:00:00,75,25.0,0.0,11.9
Agartala,icon,2026-06-28T04:00:00,76,25.6,0.0,9.9
Agartala,icon,2026-06-28T05:00:00,77,26.5,0.1,8.4
Agartala,icon,2026-06-28T06:00:00,78,27.6,0.5,7.9
Agartala,icon,2026-06-28T07:00:00,79,28.9,0.8,8.4
Agartala,icon,2026-06-28T08:00:00,80,30.4,0.9,9.9
Agartala,icon,2026-06-28T09:00:00,81,31.8,1.0,11.9
Agartala,icon,2026-06-28T10:00:00,82,33.1,0.9,13.9
Agartala,icon,2026-06-28T11:00:00,83,34.2,0.8,15.4
Agartala,icon,2026-06-28T12:00:00,84,35.1,0.5,15.9
Agartala,icon,2026-06-28T13:00:00,85,35.7,0.1,15.4
Agartala,icon,2026-06-28T14:00:00,86,35.9,0.0,13.9
Agartala,icon,2026-06-28T15:00:00,87,35.7,0.0,11.9
Agartala,icon,2026-06-28T16:00:00,88,35.1,0.0,9.9
Agartala,icon,2026-06-28T17:00:00,89,34.2,0.0,8.4
Agartala,icon,2026-06-28T18:00:00,90,33.1,0.0,7.9
Agartala,icon,2026-06-28T19:00:00,91,31.8,0.0,8.4
Agartala,icon,2026-06-28T20:00:00,92,30.4,0.0,9.9
Agartala,icon,2026-06-28T21:00:00,93,28.9,0.0,11.9
Agartala,icon,2026-06-28T22:00:00,94,27.6,0.0,13.9
Agartala,icon,2026-06-28T23:00:00,95,26.5,0.0,15.4
Agartala,icon,2026-06-29T00:00:00,96,25.6,0.0,15.9
Agartala,icon,2026-06-29T01:00:00,97,25.0,0.0,15.4
Agartala,icon,2026-06-29T02:00:00,98,24.9,0.0,13.9
Agartala,icon,2026-06-29T03:00:00,99,25.0,0.0,11.9
Agartala,icon,2026-06-29T04:00:00,100,25.6,0.0,9.9
Agartala,icon,2026-06-29T05:00:00,101,26.5,0.0,8.4
Agartala,icon,2026-06-29T06:00:00,102,27.6,0.0,7.9
Agartala,icon,2026-06-29T07:00:00,103,28.9,0.0,8.4
Agartala,icon,2026-06-29T08:00:00,104,30.4,0.0,9.9
Agartala,icon,2026-06-29T09:00:00,105,31.8,0.0,11.9
Agartala,icon,2026-06-29T10:00:00,106,33.1,0.0,13.9
Agartala,icon,2026-06-29T11:00:00,107,34.2,0.0,15.4
Agartala,icon,2026-06-29T12:00:00,108,35.1,0.0,15.9
Agartala,icon,2026-06-29T13:00:00,109,35.7,0.0,15.4
Agartala,icon,2026-06-29T14:00:00,110,35.9,0.0,13.9
Agartala,icon,2026-06-29T15:00:00,111,35.7,0.0,11.9
Agartala,icon,2026-06-29T16:00:00,112,35.1,0.0,9.9
Agartala,icon,2026-06-29T17:00:00,113,34.2,0.1,8.4
Agartala,icon,2026-06-29T18:00:00,114,33.1,0.5,7.9
Agartala,icon,2026-06-29T19:00:00,115,31.8,0.8,8.4
Agartala,icon,2026-06-29T20:00:00,116,30.4,0.9,9.9
Agartala,icon,2026-06-29T21:00:00,117,28.9,1.0,11.9
Agartala,icon,2026-06-29T22:00:00,118,27.6,0.9,13.9
Agartala,icon,2026-06-29T23:00:00,119,26.5,0.8,15.4
Agartala,icon,2026-06-30T00:00:00,120,25.6,0.5,15.9
Agartala,icon,2026-06-30T01:00:00,121,25.0,0.1,15.4
Agartala,icon,2026-06-30T02:00:00,122,24.9,0.0,13.9
Agartala,icon,2026-06-30T03:00:00,123,25.0,0.0,11.9
Agartala,icon,2026-06-30T04:00:00,124,25.6,0.0,9.9
Agartala,icon,2026-06-30T05:00:00,125,26.5,0.0,8.4
Agartala,icon,2026-06-30T06:00:00,126,27.6,0.0,7.9
Agartala,icon,2026-06-30T07:00:00,127,28.9,0.0,8.4
Agartala,icon,2026-06-30T08:00:00,128,30.4,0.0,9.9
Agartala,icon,2026-06-30T09:00:00,129,31.8,0.0,11.9
Agartala,icon,2026-06-30T10:00:00,130,33.1,0.0,13.9
Agartala,icon,2026-06-30T11:00:00,131,34.2,0.0,15.4
Agartala,icon,2026-06-30T12:00:00,132,35.1,0.0,15.9
Agartala,icon,2026-06-30T13:00:00,133,35.7,0.0,15.4
Agartala,icon,2026-06-30T14:00:00,134,35.9,0.0,13.9
Agartala,icon,2026-06-30T15:00:00,135,35.7,0.0,11.9
Agartala,icon,2026-06-30T16:00:00,136,35.1,0.0,9.9
Agartala,icon,2026-06-30T17:00:00,137,34.2,0.0,8.4
Agartala,icon,2026-06-30T18:00:00,138,33.1,0.0,7.9
Agartala,icon,2026-06-30T19:00:00,139,31.8,0.0,8.4
Agartala,icon,2026-06-30T20:00:00,140,30.4,0.0,9.9
Agartala,icon,2026-06-30T21:00:00,141,28.9,0.0,11.9
Agartala,icon,2026-06-30T22:00:00,142,27.6,0.0,13.9
Agartala,icon,2026-06-30T23:00:00,143,26.5,0.0,15.4
Agartala,icon,2026-07-01T00:00:00,144,25.6,0.0,15.9
Agartala,icon,2026-07-01T01:00:00,145,25.0,0.0,15.4
Agartala,icon,2026-07-01T02:00:00,146,24.9,0.0,13.9
Agartala,icon,2026-07-01T03:00:00,147,25.0,0.0,11.9
Agartala,icon,2026-07-01T04:00:00,148,25.6,0.0,9.9
Agartala,icon,2026-07-01T05:00:00,149,26.5,0.1,8.4
Agartala,icon,2026-07-01T06:00:00,150,27.6,0.5,7.9
Agartala,icon,2026-07-01T07:00:00,151,28.9,0.8,8.4
Agartala,icon,2026-07-01T08:00:00,152,30.4,0.9,9.9
Agartala,icon,2026-07-01T09:00:00,153,31.8,1.0,11.9
Agartala,icon,2026-07-01T10:00:00,154,33.1,0.9,13.9
Agartala,icon,2026-07-01T11:00:00,155,34.2,0.8,15.4
Agartala,icon,2026-07-01T12:00:00,156,35.1,0.5,15.9
Agartala,icon,2026-07-01T13:00:00,157,35.7,0.1,15.4
Agartala,icon,2026-07-01T14:00:00,158,35.9,0.0,13.9
Agartala,icon,2026-07-01T15:00:00,159,35.7,0.0,11.9
Agartala,icon,2026-07-01T16:00:00,160,35.1,0.0,9.9
Agartala,icon,2026-07-01T17:00:00,161,34.2,0.0,8.4
Agartala,icon,2026-07-01T18:00:00,162,33.1,0.0,7.9
Agartala,icon,2026-07-01T19:00:00,163,31.8,0.0,8.4
Agartala,icon,2026-07-01T20:00:00,164,30.4,0.0,9.9
Agartala,icon,2026-07-01T21:00:00,165,28.9,0.0,11.9
Agartala,icon,2026-07-01T22:00:00,166,27.6,0.0,13.9
Agartala,icon,2026-07-01T23:00:00,167,26.5,0.0,15.4
Agartala,icon,2026-07-02T00:00:00,168,25.6,0.0,15.9
Agartala,icon,2026-07-02T01:00:00,169,25.0,0.0,15.4
Agartala,icon,2026-07-02T02:00:00,170,24.9,0.0,13.9
Agartala,icon,2026-07-02T03:00:00,171,25.0,0.0,11.9
Agartala,icon,2026-07-02T04:00:00,172,25.6,0.0,9.9
