city,datetime,temperature,rainfall,wind_speed
Delhi,2026-09-23T00:00,24.2,0.0,16.0
Delhi,2026-09-23T01:00,23.7,0.0,15.5
Delhi,2026-09-23T02:00,23.5,0.0,14.0
Delhi,2026-09-23T03:00,23.7,0.0,12.0
Delhi,2026-09-23T04:00,24.2,0.0,10.0
Delhi,2026-09-23T05:00,25.1,0.1,8.5
Delhi,2026-09-23T06:00,26.2,0.5,8.0
Delhi,2026-09-23T07:00,27.6,0.8,8.5
Delhi,2026-09-23T08:00,29.0,0.9,10.0
Delhi,2026-09-23T09:00,30.4,1.0,12.0
Delhi,2026-09-23T10:00,31.7,0.9,14.0
Delhi,2026-09-23T11:00,32.9,0.8,15.5
Delhi,2026-09-23T12:00,33.7,0.5,16.0
Delhi,2026-09-23T13:00,34.3,0.1,15.5
Delhi,2026-09-23T14:00,34.5,0.0,14.0
Delhi,2026-09-23T15:00,34.3,0.0,12.0
Delhi,2026-09-23T16:00,33.7,0.0,10.0
Delhi,2026-09-23T17:00,32.9,0.0,8.5
Delhi,2026-09-23T18:00,31.7,0.0,8.0
Delhi,2026-09-23T19:00,30.4,0.0,8.5
Delhi,2026-09-23T20:00,29.0,0.0,10.0
Delhi,2026-09-23T21:00,27.6,0.0,12.0
Delhi,2026-09-23T22:00,26.2,0.0,14.0
Delhi,2026-09-23T23:00,25.1,0.0,15.5
Delhi,2026-09-24T00:00,24.2,0.0,16.0
Delhi,2026-09-24T01:00,23.7,0.0,15.5
Delhi,2026-09-24T02:00,23.5,0.0,14.0
Delhi,2026-09-24T03:00,23.7,0.0,12.0
Delhi,2026-09-24T04:00,24.2,0.0,10.0
Delhi,2026-09-24T05:00,25.1,0.0,8.5
Delhi,2026-09-24T06:00,26.2,0.0,8.0
Delhi,2026-09-24T07:00,27.6,0.0,8.5
Delhi,2026-09-24T08:00,29.0,0.0,10.0
Delhi,2026-09-24T09:00,30.4,0.0,12.0
Delhi,2026-09-24T10:00,31.7,0.0,14.0
Delhi,2026-09-24T11:00,32.9,0.0,15.5
Delhi,2026-09-24T12:00,33.7,0.0,16.0
Delhi,2026-09-24T13:00,34.3,0.0,15.5
Delhi,2026-09-24T14:00,34.5,0.0,14.0
Delhi,2026-09-24T15:00,34.3,0.0,12.0
Delhi,2026-09-24T16:00,33.7,0.0,10.0
Delhi,2026-09-24T17:00,32.9,0.1,8.5
Delhi,2026-09-24T18:00,31.7,0.5,8.0
Delhi,2026-09-24T19:00,30.4,0.8,8.5
Delhi,2026-09-24T20:00,29.0,0.9,10.0
Delhi,2026-09-24T21:00,27.6,1.0,12.0
Delhi,2026-09-24T22:00,26.2,0.9,14.0
Delhi,2026-09-24T23:00,25.1,0.8,15.5
Delhi,2026-09-25T00:00,24.2,0.5,16.0
Delhi,2026-09-25T01:00,23.7,0.1,15.5
Delhi,2026-09-25T02:00,23.5,0.0,14.0
Delhi,2026-09-25T03:00,23.7,0.0,12.0
Delhi,2026-09-25T04:00,24.2,0.0,10.0
Delhi,2026-09-25T05:00,25.1,0.0,8.5
Delhi,2026-09-25T06:00,26.2,0.0,8.0
