city,datetime,temperature,rainfall,wind_speed
Delhi,2026-09-23T00:00,29.5,0.0,5.1
Delhi,2026-09-23T01:00,29.1,0.0,6.2
Delhi,2026-09-23T02:00,29.5,0.0,5.9
Delhi,2026-09-23T03:00,31.0,0.0,5.4
Delhi,2026-09-23T04:00,32.8,0.0,3.6
Delhi,2026-09-23T05:00,34.6,0.0,2.9
Delhi,2026-09-23T06:00,36.1,0.0,2.4
Delhi,2026-09-23T07:00,37.4,0.0,0.8
Delhi,2026-09-23T08:00,38.2,0.0,1.4
Delhi,2026-09-23T09:00,38.5,0.0,3.7
Delhi,2026-09-23T10:00,38.4,0.0,6.2
Delhi,2026-09-23T11:00,38.1,0.0,10.4
Delhi,2026-09-23T12:00,37.2,0.0,13.4
Delhi,2026-09-23T13:00,36.1,0.0,9.3
Delhi,2026-09-23T14:00,35.7,0.0,3.8
Delhi,2026-09-23T15:00,35.2,0.0,7.9
Delhi,2026-09-23T16:00,34.5,0.0,10.5
Delhi,2026-09-23T17:00,33.6,0.0,11.1
Delhi,2026-09-23T18:00,32.4,0.0,11.5
Delhi,2026-09-23T19:00,31.8,0.0,9.4
Delhi,2026-09-23T20:00,31.5,0.0,9.2
Delhi,2026-09-23T21:00,31.0,0.0,8.7
Delhi,2026-09-23T22:00,30.6,0.0,8.7
Delhi,2026-09-23T23:00,30.2,0.0,9.5
Delhi,2026-09-24T00:00,29.7,0.0,10.6
Delhi,2026-09-24T01:00,29.3,0.0,11.1
Delhi,2026-09-24T02:00,29.8,0.0,10.1
Delhi,2026-09-24T03:00,31.0,0.0,8.5
Delhi,2026-09-24T04:00,32.6,0.0,9.2
Delhi,2026-09-24T05:00,34.1,0.0,9.2
Delhi,2026-09-24T06:00,35.5,0.0,9.4
Delhi,2026-09-24T07:00,36.7,0.0,7.9
Delhi,2026-09-24T08:00,37.7,0.0,6.4
Delhi,2026-09-24T09:00,38.1,0.0,7.4
Delhi,2026-09-24T10:00,38.0,0.0,12.4
Delhi,2026-09-24T11:00,37.1,0.0,17.3
Delhi,2026-09-24T12:00,35.9,0.0,15.3
Delhi,2026-09-24T13:00,34.9,0.0,13.8
Delhi,2026-09-24T14:00,34.4,0.0,14.7
Delhi,2026-09-24T15:00,33.9,0.0,15.6
Delhi,2026-09-24T16:00,33.2,0.0,16.0
Delhi,2026-09-24T17:00,31.5,0.0,18.4
Delhi,2026-09-24T18:00,30.6,0.0,18.6
Delhi,2026-09-24T19:00,30.1,0.0,17.8
Delhi,2026-09-24T20:00,29.3,0.0,16.5
Delhi,2026-09-24T21:00,28.7,0.0,16.7
Delhi,2026-09-24T22:00,28.0,0.0,16.8
Delhi,2026-09-24T23:00,27.5,0.0,16.1
Delhi,2026-09-25T00:00,27.2,0.0,13.3
Delhi,2026-09-25T01:00,27.0,0.0,12.0
Delhi,2026-09-25T02:00,27.3,0.0,12.7
Delhi,2026-09-25T03:00,28.3,0.0,12.4
Delhi,2026-09-25T04:00,29.8,0.0,12.8
Delhi,2026-09-25T05:00,31.2,0.0,11.8
Delhi,2026-09-25T06:00,32.8,0.0,9.2
Delhi,2026-09-25T07:00,34.1,0.0,7.9
Delhi,2026-09-25T08:00,35.2,0.0,7.2
Delhi,2026-09-25T09:00,36.0,0.0,7.2
Delhi,2026-09-25T10:00,36.4,0.0,6.2
Delhi,2026-09-25T11:00,36.4,0.0,4.6
Delhi,2026-09-25T12:00,35.5,0.0,12.0
Delhi,2026-09-25T13:00,33.7,0.0,21.4
Delhi,2026-09-25T14:00,32.5,0.1,20.7
Delhi,2026-09-25T15:00,30.9,0.0,21.8
Delhi,2026-09-25T16:00,30.3,0.0,22.7
Delhi,2026-09-25T17:00,29.4,0.0,21.3
Delhi,2026-09-25T18:00,28.7,0.0,20.8
Delhi,2026-09-25T19:00,28.1,0.0,19.5
Delhi,2026-09-25T20:00,27.7,0.0,18.5
Delhi,2026-09-25T21:00,27.4,0.0,16.5
Delhi,2026-09-25T22:00,27.2,0.0,14.9
Delhi,2026-09-25T23:00,27.0,0.0,14.6
Delhi,2026-09-26T00:00,26.8,0.0,12.9
Delhi,2026-09-26T01:00,26.5,0.0,14.5
Delhi,2026-09-26T02:00,26.9,0.0,14.5
Delhi,2026-09-26T03:00,27.9,0.0,16.3
Delhi,2026-09-26T04:00,29.3,0.0,16.2
Delhi,2026-09-26T05:00,30.8,0.0,15.6
Delhi,2026-09-26T06:00,32.2,0.0,14.4
Delhi,2026-09-26T07:00,33.3,0.0,14.8
Delhi,2026-09-26T08:00,34.1,0.0,13.8
Delhi,2026-09-26T09:00,34.7,0.0,13.0
Delhi,2026-09-26T10:00,35.0,0.0,13.2
Delhi,2026-09-26T11:00,34.8,0.0,14.6
Delhi,2026-09-26T12:00,33.8,0.0,18.9
Delhi,2026-09-26T13:00,31.3,0.0,22.2
Delhi,2026-09-26T14:00,30.4,0.0,20.4
Delhi,2026-09-26T15:00,30.0,0.0,18.9
Delhi,2026-09-26T16:00,29.1,0.0,18.2
Delhi,2026-09-26T17:00,27.9,0.0,18.2
Delhi,2026-09-26T18:00,26.4,0.0,19.7
Delhi,2026-09-26T19:00,26.2,0.0,18.1
Delhi,2026-09-26T20:00,26.0,0.0,15.1
Delhi,2026-09-26T21:00,25.7,0.0,15.8
Delhi,2026-09-26T22:00,25.7,0.0,12.7
Delhi,2026-09-26T23:00,25.6,0.0,11.1
Delhi,2026-09-27T00:00,25.7,0.0,8.7
Delhi,2026-09-27T01:00,25.8,0.0,9.6
Delhi,2026-09-27T02:00,25.9,0.0,13.4
Delhi,2026-09-27T03:00,26.5,0.0,13.2
Delhi,2026-09-27T04:00,27.7,0.0,11.5
Delhi,2026-09-27T05:00,29.4,0.0,14.6
Delhi,2026-09-27T06:00,30.5,0.0,13.9
Delhi,2026-09-27T07:00,31.3,0.0,16.8
Delhi,2026-09-27T08:00,30.7,0.0,19.3
Delhi,2026-09-27T09:00,30.3,0.0,19.0
Delhi,2026-09-27T10:00,29.8,0.0,22.7
Delhi,2026-09-27T11:00,28.5,0.0,23.3
Delhi,2026-09-27T12:00,26.9,0.0,23.3
Delhi,2026-09-27T13:00,25.6,0.0,18.2
Delhi,2026-09-27T14:00,25.1,0.0,18.3
Delhi,2026-09-27T15:00,24.4,0.0,19.3
Delhi,2026-09-27T16:00,24.7,0.0,18.5
Delhi,2026-09-27T17:00,24.7,0.0,17.0
Delhi,2026-09-27T18:00,24.7,0.0,14.2
Delhi,2026-09-27T19:00,25.0,0.0,14.4
Delhi,2026-09-27T20:00,25.0,0.0,16.0
