city,datetime,lead_day,confidence,confidence_label,skill_score,agreement_score,lead_score,dominant_model,explanation
Agartala,2026-09-26 00:00:00,1,87.8,High,87.68,79.85,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agartala,2026-09-26 01:00:00,1,88.0,High,87.68,80.42,100.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-26 02:00:00,1,88.2,High,87.68,81.08,100.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-26 03:00:00,1,88.0,High,87.68,80.57,100.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-26 04:00:00,1,87.9,High,87.68,80.23,100.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-26 05:00:00,1,87.1,High,87.68,77.62,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agartala,2026-09-26 06:00:00,1,87.8,High,87.68,79.85,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agartala,2026-09-26 07:00:00,1,89.7,Very High,87.68,86.11,100.0,ECMWF,"ECMWF has the highest historical skill, model agreement is strong, and this is a short-range forecast."
Agartala,2026-09-26 08:00:00,1,89.1,High,87.68,84.18,100.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-26 09:00:00,1,89.4,High,87.68,85.27,100.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-26 10:00:00,1,90.9,Very High,87.68,90.24,100.0,ECMWF,"ECMWF has the highest historical skill, model agreement is strong, and this is a short-range forecast."
Agartala,2026-09-26 11:00:00,1,89.9,Very High,87.68,87.01,100.0,ECMWF,"ECMWF has the highest historical skill, model agreement is strong, and this is a short-range forecast."
Agartala,2026-09-26 12:00:00,1,89.6,Very High,87.68,85.88,100.0,ECMWF,"ECMWF has the highest historical skill, model agreement is strong, and this is a short-range forecast."
Agartala,2026-09-26 13:00:00,1,88.5,High,87.68,82.21,100.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-26 14:00:00,1,88.3,High,87.68,81.46,100.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-26 15:00:00,1,88.4,High,87.68,81.97,100.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-26 16:00:00,1,88.0,High,87.68,80.37,100.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-26 17:00:00,1,86.7,High,87.68,76.34,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agartala,2026-09-26 18:00:00,1,84.3,High,87.68,68.17,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agartala,2026-09-26 19:00:00,1,84.9,High,87.68,70.13,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
