city,datetime,event,severity,forecast_value,threshold
Patna,2026-09-26 00:00:00,High Wind,Moderate,31.45,25
Raipur,2026-09-26 00:00:00,Heavy Rain,Moderate,4.48,4
Raipur,2026-09-26 00:00:00,High Wind,Moderate,29.84,25
Ranchi,2026-09-26 00:00:00,High Wind,Moderate,29.39,25
Varanasi,2026-09-26 00:00:00,High Wind,Moderate,30.73,25
Lucknow,2026-09-26 01:00:00,Heavy Rain,Moderate,4.12,4
Patna,2026-09-26 01:00:00,High Wind,Moderate,30.15,25
Raipur,2026-09-26 01:00:00,Heavy Rain,Moderate,4.91,4
Raipur,2026-09-26 01:00:00,High Wind,Moderate,29.03,25
Ranchi,2026-09-26 01:00:00,High Wind,Moderate,28.28,25
Varanasi,2026-09-26 01:00:00,High Wind,Moderate,31.84,25
Lucknow,2026-09-26 02:00:00,Heavy Rain,Moderate,4.19,4
Patna,2026-09-26 02:00:00,High Wind,Moderate,29.41,25
Raipur,2026-09-26 02:00:00,Heavy Rain,Moderate,4.83,4
Raipur,2026-09-26 02:00:00,High Wind,Moderate,27.68,25
Ranchi,2026-09-26 02:00:00,High Wind,Moderate,27.55,25
Varanasi,2026-09-26 02:00:00,High Wind,High,32.8,25
Kanpur,2026-09-26 03:00:00,Heavy Rain,Moderate,7.23,4
Lucknow,2026-09-26 03:00:00,Heavy Rain,Moderate,5.44,4
Lucknow,2026-09-26 03:00:00,High Wind,Moderate,27.37,25
Patna,2026-09-26 03:00:00,High Wind,Moderate,31.66,25
Raipur,2026-09-26 03:00:00,Heavy Rain,Moderate,4.54,4
Raipur,2026-09-26 03:00:00,High Wind,Moderate,26.57,25
Ranchi,2026-09-26 03:00:00,High Wind,Moderate,27.41,25
Varanasi,2026-09-26 03:00:00,High Wind,High,32.07,25
Jabalpur,2026-09-26 04:00:00,Heavy Rain,Moderate,4.37,4
Kanpur,2026-09-26 04:00:00,Heavy Rain,Moderate,7.82,4
Lucknow,2026-09-26 04:00:00,High Wind,Moderate,27.95,25
Patna,2026-09-26 04:00:00,High Wind,Moderate,30.71,25
Raipur,2026-09-26 04:00:00,High Wind,Moderate,27.79,25
