city,model,datetime,temperature,rainfall,wind_speed
Agartala,ecmwf,2026-09-24 00:00:00,26.8,0.0,4.8
Agartala,ecmwf,2026-09-24 01:00:00,26.4,0.0,5.4
Agartala,ecmwf,2026-09-24 02:00:00,26.1,0.0,6.3
Agartala,ecmwf,2026-09-24 03:00:00,26.0,0.0,7.3
Agartala,ecmwf,2026-09-24 04:00:00,26.0,0.0,8.4
Agartala,ecmwf,2026-09-24 05:00:00,26.5,0.0,9.2
Agartala,ecmwf,2026-09-24 06:00:00,27.7,0.0,9.6
Agartala,ecmwf,2026-09-24 07:00:00,29.3,0.0,9.8
Agartala,ecmwf,2026-09-24 08:00:00,30.5,0.0,10.0
Agartala,ecmwf,2026-09-24 09:00:00,31.1,0.0,9.7
Agartala,ecmwf,2026-09-24 10:00:00,31.2,0.0,10.0
Agartala,ecmwf,2026-09-24 11:00:00,31.0,0.0,10.5
Agartala,ecmwf,2026-09-24 12:00:00,30.0,1.2,9.0
Agartala,ecmwf,2026-09-24 13:00:00,28.6,1.2,7.3
Agartala,ecmwf,2026-09-24 14:00:00,27.6,1.2,6.1
Agartala,ecmwf,2026-09-24 15:00:00,27.5,0.0,5.4
Agartala,ecmwf,2026-09-24 16:00:00,27.8,0.0,4.7
Agartala,ecmwf,2026-09-24 17:00:00,27.9,0.0,4.7
Agartala,ecmwf,2026-09-24 18:00:00,27.8,0.0,5.4
Agartala,ecmwf,2026-09-24 19:00:00,27.5,0.0,6.6
Agartala,ecmwf,2026-09-24 20:00:00,27.2,0.0,8.0
Agartala,ecmwf,2026-09-24 21:00:00,26.9,0.0,9.2
Agartala,ecmwf,2026-09-24 22:00:00,26.6,0.0,10.5
Agartala,ecmwf,2026-09-24 23:00:00,26.3,0.0,10.7
Agartala,ecmwf,2026-09-25 00:00:00,26.0,0.1,9.0
Agartala,ecmwf,2026-09-25 01:00:00,25.7,0.1,7.0
Agartala,ecmwf,2026-09-25 02:00:00,25.4,0.1,6.1
Agartala,ecmwf,2026-09-25 03:00:00,25.2,0.1,7.3
Agartala,ecmwf,2026-09-25 04:00:00,25.0,0.1,9.1
Agartala,ecmwf,2026-09-25 05:00:00,25.2,0.1,10.0
Agartala,ecmwf,2026-09-25 06:00:00,26.2,0.0,9.4
Agartala,ecmwf,2026-09-25 07:00:00,27.6,0.0,9.7
Agartala,ecmwf,2026-09-25 08:00:00,28.9,0.0,11.5
Agartala,ecmwf,2026-09-25 09:00:00,29.9,0.1,12.3
Agartala,ecmwf,2026-09-25 10:00:00,30.8,0.1,12.5
Agartala,ecmwf,2026-09-25 11:00:00,31.2,0.1,12.2
Agartala,ecmwf,2026-09-25 12:00:00,30.9,0.7,11.9
Agartala,ecmwf,2026-09-25 13:00:00,30.1,0.7,12.8
Agartala,ecmwf,2026-09-25 14:00:00,29.3,0.7,13.0
Agartala,ecmwf,2026-09-25 15:00:00,28.5,1.0,10.1
Agartala,ecmwf,2026-09-25 16:00:00,27.6,1.0,6.6
Agartala,ecmwf,2026-09-25 17:00:00,27.0,1.0,6.1
Agartala,ecmwf,2026-09-25 18:00:00,26.6,0.1,7.4
Agartala,ecmwf,2026-09-25 19:00:00,26.4,0.1,8.5
Agartala,ecmwf,2026-09-25 20:00:00,26.2,0.1,9.7
Agartala,ecmwf,2026-09-25 21:00:00,25.8,0.0,9.4
