city,datetime,split,temperature_ecmwf,temperature_gfs,temperature_icon,temperature_gem,rainfall_ecmwf,rainfall_gfs,rainfall_icon,rainfall_gem,wind_speed_ecmwf,wind_speed_gfs,wind_speed_icon,wind_speed_gem,actual_temperature,actual_rainfall,actual_wind,blend_temperature,blend_rainfall,blend_wind_speed
Agartala,2026-07-18 00:00:00,train,26.5,26.2,27.1,25.6,0.1,0.0,0.1,0.7,18.0,19.0,10.0,11.5,26.3,0.0,19.2,26.3827003,0.1651937,15.993800493800492
Agartala,2026-07-18 01:00:00,train,26.2,26.1,27.0,25.6,0.1,0.0,0.0,0.6,17.9,18.8,9.8,12.2,26.1,0.0,18.1,26.2154851,0.1247588,16.007256407256406
Agartala,2026-07-18 02:00:00,train,26.0,25.9,26.7,25.8,0.1,0.0,0.0,0.0,17.9,17.8,11.0,11.2,25.8,0.1,18.0,26.069775399999997,0.0355856,15.747156347156343
Agartala,2026-07-18 03:00:00,train,25.8,25.6,26.6,25.5,0.1,0.0,0.0,1.3,17.6,17.7,10.3,7.6,25.6,0.1,17.7,25.848744200000002,0.2287942,14.826933426933426
Agartala,2026-07-18 04:00:00,train,25.7,25.5,26.4,25.4,0.1,0.0,0.1,1.7,17.4,18.5,9.5,7.9,25.3,0.1,17.1,25.7305913,0.3138157,14.87065357065357
Agartala,2026-07-18 05:00:00,train,25.9,25.6,26.6,26.6,0.1,0.0,0.0,0.3,17.9,18.4,9.6,11.2,25.7,0.1,17.9,26.090626,0.0801722,15.704519904519902
Agartala,2026-07-18 06:00:00,train,26.7,26.2,26.8,26.4,0.1,0.0,0.1,0.5,18.8,20.4,9.4,13.3,26.6,0.0,17.3,26.558453999999998,0.13546930000000001,16.937387237387235
Agartala,2026-07-18 07:00:00,train,27.8,26.8,27.3,26.8,0.1,0.0,0.4,0.0,19.8,22.3,10.0,15.1,27.5,0.1,19.6,27.3173945,0.1378764,18.239817539817537
Agartala,2026-07-18 08:00:00,train,28.7,27.4,28.0,27.5,0.1,0.0,0.4,0.1,20.4,23.6,11.2,17.3,28.4,0.2,20.2,28.0816472,0.1527386,19.37364447364447
Agartala,2026-07-18 09:00:00,train,29.4,29.0,28.8,29.2,0.2,0.0,0.1,0.0,20.6,25.3,12.9,15.8,29.0,0.2,20.7,29.1705678,0.09674390000000001,19.789904589904587
Agartala,2026-07-18 10:00:00,train,30.0,29.4,29.7,30.0,0.2,0.3,0.1,0.1,20.0,26.3,13.0,16.6,29.9,0.2,20.0,29.819101499999995,0.1835446,19.9038817038817
