city,variable,model,weight
Agartala,rainfall,ecmwf,0.355856
Agartala,rainfall,gem,0.148622
Agartala,rainfall,gfs,0.239795
Agartala,rainfall,icon,0.255727
Agartala,temperature,ecmwf,0.42663
Agartala,temperature,gem,0.181108
Agartala,temperature,gfs,0.210733
Agartala,temperature,icon,0.181529
Agartala,wind_speed,ecmwf,0.45855
Agartala,wind_speed,gem,0.186223
Agartala,wind_speed,gfs,0.22734
Agartala,wind_speed,icon,0.127886
Agra,rainfall,ecmwf,0.446286
Agra,rainfall,gem,0.101695
Agra,rainfall,gfs,0.250995
Agra,rainfall,icon,0.201024
Agra,temperature,ecmwf,0.488461
Agra,temperature,gem,0.145812
Agra,temperature,gfs,0.118547
Agra,temperature,icon,0.247179
Agra,wind_speed,ecmwf,0.41276
Agra,wind_speed,gem,0.171383
Agra,wind_speed,gfs,0.149704
Agra,wind_speed,icon,0.266152
Ahmedabad,rainfall,ecmwf,0.389752
Ahmedabad,rainfall,gem,0.245189
Ahmedabad,rainfall,gfs,0.209431
Ahmedabad,rainfall,icon,0.155629
Ahmedabad,temperature,ecmwf,0.394877
Ahmedabad,temperature,gem,0.166521
Ahmedabad,temperature,gfs,0.149109
Ahmedabad,temperature,icon,0.289492
Ahmedabad,wind_speed,ecmwf,0.417255
Ahmedabad,wind_speed,gem,0.181626
Ahmedabad,wind_speed,gfs,0.105228
Ahmedabad,wind_speed,icon,0.295891
Amritsar,rainfall,ecmwf,0.410877
Amritsar,rainfall,gem,0.097366
Amritsar,rainfall,gfs,0.244625
Amritsar,rainfall,icon,0.247133
Amritsar,temperature,ecmwf,0.50438
Amritsar,temperature,gem,0.165957
Amritsar,temperature,gfs,0.104548
Amritsar,temperature,icon,0.225115
Amritsar,wind_speed,ecmwf,0.409696
Amritsar,wind_speed,gem,0.163804
Amritsar,wind_speed,gfs,0.158397
Amritsar,wind_speed,icon,0.268103
Bengaluru,rainfall,ecmwf,0.344302
Bengaluru,rainfall,gem,0.208015
Bengaluru,rainfall,gfs,0.22765
Bengaluru,rainfall,icon,0.220033
Bengaluru,temperature,ecmwf,0.388307
Bengaluru,temperature,gem,0.192261
Bengaluru,temperature,gfs,0.169997
Bengaluru,temperature,icon,0.249434
Bengaluru,wind_speed,ecmwf,0.436007
Bengaluru,wind_speed,gem,0.155202
Bengaluru,wind_speed,gfs,0.117577
Bengaluru,wind_speed,icon,0.291214
Bhopal,rainfall,ecmwf,0.466857
Bhopal,rainfall,gem,0.176029
Bhopal,rainfall,gfs,0.148238
Bhopal,rainfall,icon,0.208877
Bhopal,temperature,ecmwf,0.440589
Bhopal,temperature,gem,0.182042
Bhopal,temperature,gfs,0.164028
Bhopal,temperature,icon,0.21334
Bhopal,wind_speed,ecmwf,0.46498
Bhopal,wind_speed,gem,0.149486
Bhopal,wind_speed,gfs,0.140652
Bhopal,wind_speed,icon,0.244882
Bhubaneswar,rainfall,ecmwf,0.366364
Bhubaneswar,rainfall,gem,0.177485
Bhubaneswar,rainfall,gfs,0.226879
Bhubaneswar,rainfall,icon,0.229272
Bhubaneswar,temperature,ecmwf,0.462484
Bhubaneswar,temperature,gem,0.158759
Bhubaneswar,temperature,gfs,0.152177
Bhubaneswar,temperature,icon,0.226581
Bhubaneswar,wind_speed,ecmwf,0.447465
Bhubaneswar,wind_speed,gem,0.169182
Bhubaneswar,wind_speed,gfs,0.21546
Bhubaneswar,wind_speed,icon,0.167893
Chandigarh,rainfall,ecmwf,0.401366
Chandigarh,rainfall,gem,0.126988
Chandigarh,rainfall,gfs,0.235672
Chandigarh,rainfall,icon,0.235974
Chandigarh,temperature,ecmwf,0.518109
Chandigarh,temperature,gem,0.181565
Chandigarh,temperature,gfs,0.13871
Chandigarh,temperature,icon,0.161617
Chandigarh,wind_speed,ecmwf,0.409123
Chandigarh,wind_speed,gem,0.204586
Chandigarh,wind_speed,gfs,0.160167
Chandigarh,wind_speed,icon,0.226124
Chennai,rainfall,ecmwf,0.31171
Chennai,rainfall,gem,0.25376
Chennai,rainfall,gfs,0.248969
Chennai,rainfall,icon,0.185561
Chennai,temperature,ecmwf,0.443553
Chennai,temperature,gem,0.182289
Chennai,temperature,gfs,0.149223
Chennai,temperature,icon,0.224935
Chennai,wind_speed,ecmwf,0.411523
Chennai,wind_speed,gem,0.197098
Chennai,wind_speed,gfs,0.146771
Chennai,wind_speed,icon,0.244608
Coimbatore,rainfall,ecmwf,0.387305
Coimbatore,rainfall,gem,0.206131
Coimbatore,rainfall,gfs,0.199365
Coimbatore,rainfall,icon,0.2072
Coimbatore,temperature,ecmwf,0.466637
Coimbatore,temperature,gem,0.194801
Coimbatore,temperature,gfs,0.175176
Coimbatore,temperature,icon,0.163386
Coimbatore,wind_speed,ecmwf,0.525097
Coimbatore,wind_speed,gem,0.090356
Coimbatore,wind_speed,gfs,0.166838
Coimbatore,wind_speed,icon,0.217708
Dehradun,rainfall,ecmwf,0.385121
Dehradun,rainfall,gem,0.180597
Dehradun,rainfall,gfs,0.23077
Dehradun,rainfall,icon,0.203512
Dehradun,temperature,ecmwf,0.412986
Dehradun,temperature,gem,0.200192
Dehradun,temperature,gfs,0.18432
Dehradun,temperature,icon,0.202502
Dehradun,wind_speed,ecmwf,0.334541
Dehradun,wind_speed,gem,0.212098
Dehradun,wind_speed,gfs,0.203741
Dehradun,wind_speed,icon,0.24962
Delhi,rainfall,ecmwf,0.367672
Delhi,rainfall,gem,0.187073
Delhi,rainfall,gfs,0.224097
Delhi,rainfall,icon,0.221158
Delhi,temperature,ecmwf,0.517342
Delhi,temperature,gem,0.193875
Delhi,temperature,gfs,0.081366
Delhi,temperature,icon,0.207416
Delhi,wind_speed,ecmwf,0.396862
Delhi,wind_speed,gem,0.185041
Delhi,wind_speed,gfs,0.138432
Delhi,wind_speed,icon,0.279665
Ghaziabad,rainfall,ecmwf,0.398907
Ghaziabad,rainfall,gem,0.129333
Ghaziabad,rainfall,gfs,0.257788
Ghaziabad,rainfall,icon,0.213972
Ghaziabad,temperature,ecmwf,0.488019
Ghaziabad,temperature,gem,0.176791
Ghaziabad,temperature,gfs,0.096639
Ghaziabad,temperature,icon,0.238552
Ghaziabad,wind_speed,ecmwf,0.397713
Ghaziabad,wind_speed,gem,0.165351
Ghaziabad,wind_speed,gfs,0.19102
Ghaziabad,wind_speed,icon,0.245915
Goa,rainfall,ecmwf,0.2796
Goa,rainfall,gem,0.20659
Goa,rainfall,gfs,0.264564
Goa,rainfall,icon,0.249246
Goa,temperature,ecmwf,0.298582
Goa,temperature,gem,0.205264
Goa,temperature,gfs,0.296196
Goa,temperature,icon,0.199957
Goa,wind_speed,ecmwf,0.226043
Goa,wind_speed,gem,0.269908
Goa,wind_speed,gfs,0.243899
Goa,wind_speed,icon,0.26015
Guwahati,rainfall,ecmwf,0.340821
Guwahati,rainfall,gem,0.229217
Guwahati,rainfall,gfs,0.18051
Guwahati,rainfall,icon,0.249452
Guwahati,temperature,ecmwf,0.311359
Guwahati,temperature,gem,0.228595
Guwahati,temperature,gfs,0.25487
Guwahati,temperature,icon,0.205176
Guwahati,wind_speed,ecmwf,0.24997
Guwahati,wind_speed,gem,0.244288
Guwahati,wind_speed,gfs,0.238034
Guwahati,wind_speed,icon,0.267708
Hyderabad,rainfall,ecmwf,0.430928
Hyderabad,rainfall,gem,0.134068
Hyderabad,rainfall,gfs,0.216895
Hyderabad,rainfall,icon,0.218108
Hyderabad,temperature,ecmwf,0.505321
Hyderabad,temperature,gem,0.145396
Hyderabad,temperature,gfs,0.156166
Hyderabad,temperature,icon,0.193118
Hyderabad,wind_speed,ecmwf,0.444272
Hyderabad,wind_speed,gem,0.139699
Hyderabad,wind_speed,gfs,0.123281
Hyderabad,wind_speed,icon,0.292747
Imphal,rainfall,ecmwf,0.410973
Imphal,rainfall,gem,0.180761
Imphal,rainfall,gfs,0.197071
Imphal,rainfall,icon,0.211195
Imphal,temperature,ecmwf,0.529601
Imphal,temperature,gem,0.159196
Imphal,temperature,gfs,0.107626
Imphal,temperature,icon,0.203576
Imphal,wind_speed,ecmwf,0.314204
Imphal,wind_speed,gem,0.222592
Imphal,wind_speed,gfs,0.237083
Imphal,wind_speed,icon,0.226121
Indore,rainfall,ecmwf,0.356619
Indore,rainfall,gem,0.182857
Indore,rainfall,gfs,0.251515
Indore,rainfall,icon,0.209009
Indore,temperature,ecmwf,0.424558
Indore,temperature,gem,0.174275
Indore,temperature,gfs,0.173788
Indore,temperature,icon,0.227379
Indore,wind_speed,ecmwf,0.465874
Indore,wind_speed,gem,0.173152
Indore,wind_speed,gfs,0.118232
Indore,wind_speed,icon,0.242742
Jabalpur,rainfall,ecmwf,0.386214
Jabalpur,rainfall,gem,0.154247
Jabalpur,rainfall,gfs,0.274037
Jabalpur,rainfall,icon,0.185501
Jabalpur,temperature,ecmwf,0.44194
Jabalpur,temperature,gem,0.161058
Jabalpur,temperature,gfs,0.177839
Jabalpur,temperature,icon,0.219162
Jabalpur,wind_speed,ecmwf,0.439369
Jabalpur,wind_speed,gem,0.183766
Jabalpur,wind_speed,gfs,0.172367
Jabalpur,wind_speed,icon,0.204498
Jaipur,rainfall,ecmwf,0.422724
Jaipur,rainfall,gem,0.171224
Jaipur,rainfall,gfs,0.197572
Jaipur,rainfall,icon,0.20848
Jaipur,temperature,ecmwf,0.409417
Jaipur,temperature,gem,0.179781
Jaipur,temperature,gfs,0.11907
Jaipur,temperature,icon,0.291732
Jaipur,wind_speed,ecmwf,0.410065
Jaipur,wind_speed,gem,0.19147
Jaipur,wind_speed,gfs,0.119933
Jaipur,wind_speed,icon,0.278532
Jodhpur,rainfall,ecmwf,0.429644
Jodhpur,rainfall,gem,0.136935
Jodhpur,rainfall,gfs,0.243937
Jodhpur,rainfall,icon,0.189483
Jodhpur,temperature,ecmwf,0.500815
Jodhpur,temperature,gem,0.155429
Jodhpur,temperature,gfs,0.091663
Jodhpur,temperature,icon,0.252093
Jodhpur,wind_speed,ecmwf,0.514288
Jodhpur,wind_speed,gem,0.160796
Jodhpur,wind_speed,gfs,0.079976
Jodhpur,wind_speed,icon,0.24494
Kanpur,rainfall,ecmwf,0.441107
Kanpur,rainfall,gem,0.181527
Kanpur,rainfall,gfs,0.18933
Kanpur,rainfall,icon,0.188036
Kanpur,temperature,ecmwf,0.502586
Kanpur,temperature,gem,0.129321
Kanpur,temperature,gfs,0.136547
Kanpur,temperature,icon,0.231546
Kanpur,wind_speed,ecmwf,0.447554
Kanpur,wind_speed,gem,0.146523
Kanpur,wind_speed,gfs,0.142604
Kanpur,wind_speed,icon,0.263319
Kochi,rainfall,ecmwf,0.357103
Kochi,rainfall,gem,0.191625
Kochi,rainfall,gfs,0.216692
Kochi,rainfall,icon,0.234581
Kochi,temperature,ecmwf,0.306313
Kochi,temperature,gem,0.218293
Kochi,temperature,gfs,0.154824
Kochi,temperature,icon,0.32057
Kochi,wind_speed,ecmwf,0.266744
Kochi,wind_speed,gem,0.222694
Kochi,wind_speed,gfs,0.250874
Kochi,wind_speed,icon,0.259688
Kolkata,rainfall,ecmwf,0.353812
Kolkata,rainfall,gem,0.198459
Kolkata,rainfall,gfs,0.283502
Kolkata,rainfall,icon,0.164227
Kolkata,temperature,ecmwf,0.406632
Kolkata,temperature,gem,0.176122
Kolkata,temperature,gfs,0.166722
Kolkata,temperature,icon,0.250525
Kolkata,wind_speed,ecmwf,0.417423
Kolkata,wind_speed,gem,0.200582
Kolkata,wind_speed,gfs,0.115236
Kolkata,wind_speed,icon,0.266759
Kota,rainfall,ecmwf,0.383934
Kota,rainfall,gem,0.153944
Kota,rainfall,gfs,0.232754
Kota,rainfall,icon,0.229369
Kota,temperature,ecmwf,0.436571
Kota,temperature,gem,0.180661
Kota,temperature,gfs,0.138979
Kota,temperature,icon,0.243789
Kota,wind_speed,ecmwf,0.406521
Kota,wind_speed,gem,0.199795
Kota,wind_speed,gfs,0.142473
Kota,wind_speed,icon,0.25121
Lucknow,rainfall,ecmwf,0.390686
Lucknow,rainfall,gem,0.192152
Lucknow,rainfall,gfs,0.285868
Lucknow,rainfall,icon,0.131295
Lucknow,temperature,ecmwf,0.497163
Lucknow,temperature,gem,0.167912
Lucknow,temperature,gfs,0.098146
Lucknow,temperature,icon,0.236778
Lucknow,wind_speed,ecmwf,0.432204
Lucknow,wind_speed,gem,0.143757
Lucknow,wind_speed,gfs,0.14538
Lucknow,wind_speed,icon,0.27866
Ludhiana,rainfall,ecmwf,0.360342
Ludhiana,rainfall,gem,0.185125
Ludhiana,rainfall,gfs,0.241731
Ludhiana,rainfall,icon,0.212802
Ludhiana,temperature,ecmwf,0.378654
Ludhiana,temperature,gem,0.195486
Ludhiana,temperature,gfs,0.135529
Ludhiana,temperature,icon,0.290331
Ludhiana,wind_speed,ecmwf,0.39716
Ludhiana,wind_speed,gem,0.169252
Ludhiana,wind_speed,gfs,0.142431
Ludhiana,wind_speed,icon,0.291156
Madurai,rainfall,ecmwf,0.277616
Madurai,rainfall,gem,0.259201
Madurai,rainfall,gfs,0.237896
Madurai,rainfall,icon,0.225286
Madurai,temperature,ecmwf,0.363634
Madurai,temperature,gem,0.144786
Madurai,temperature,gfs,0.224148
Madurai,temperature,icon,0.267433
Madurai,wind_speed,ecmwf,0.353896
Madurai,wind_speed,gem,0.228908
Madurai,wind_speed,gfs,0.175411
Madurai,wind_speed,icon,0.241785
Mumbai,rainfall,ecmwf,0.342997
Mumbai,rainfall,gem,0.208623
Mumbai,rainfall,gfs,0.215844
Mumbai,rainfall,icon,0.232536
Mumbai,temperature,ecmwf,0.352218
Mumbai,temperature,gem,0.25623
Mumbai,temperature,gfs,0.12008
Mumbai,temperature,icon,0.271472
Mumbai,wind_speed,ecmwf,0.311576
Mumbai,wind_speed,gem,0.265153
Mumbai,wind_speed,gfs,0.139878
Mumbai,wind_speed,icon,0.283394
Nagpur,rainfall,ecmwf,0.442452
Nagpur,rainfall,gem,0.109201
Nagpur,rainfall,gfs,0.211469
Nagpur,rainfall,icon,0.236878
Nagpur,temperature,ecmwf,0.434055
Nagpur,temperature,gem,0.152781
Nagpur,temperature,gfs,0.162647
Nagpur,temperature,icon,0.250518
Nagpur,wind_speed,ecmwf,0.404783
Nagpur,wind_speed,gem,0.183947
Nagpur,wind_speed,gfs,0.217054
Nagpur,wind_speed,icon,0.194215
Nashik,rainfall,ecmwf,0.476949
Nashik,rainfall,gem,0.189867
Nashik,rainfall,gfs,0.158517
Nashik,rainfall,icon,0.174667
Nashik,temperature,ecmwf,0.423602
Nashik,temperature,gem,0.163815
Nashik,temperature,gfs,0.211126
Nashik,temperature,icon,0.201457
Nashik,wind_speed,ecmwf,0.467565
Nashik,wind_speed,gem,0.165302
Nashik,wind_speed,gfs,0.095805
Nashik,wind_speed,icon,0.271328
Patna,rainfall,ecmwf,0.333553
Patna,rainfall,gem,0.185527
Patna,rainfall,gfs,0.265167
Patna,rainfall,icon,0.215753
Patna,temperature,ecmwf,0.470061
Patna,temperature,gem,0.161716
Patna,temperature,gfs,0.088086
Patna,temperature,icon,0.280137
Patna,wind_speed,ecmwf,0.418362
Patna,wind_speed,gem,0.162266
Patna,wind_speed,gfs,0.144152
Patna,wind_speed,icon,0.27522
Pune,rainfall,ecmwf,0.338113
Pune,rainfall,gem,0.19872
Pune,rainfall,gfs,0.218485
Pune,rainfall,icon,0.244681
Pune,temperature,ecmwf,0.44325
Pune,temperature,gem,0.144945
Pune,temperature,gfs,0.189022
Pune,temperature,icon,0.222783
Pune,wind_speed,ecmwf,0.400767
Pune,wind_speed,gem,0.209319
Pune,wind_speed,gfs,0.157539
Pune,wind_speed,icon,0.232375
Raipur,rainfall,ecmwf,0.379275
Raipur,rainfall,gem,0.145891
Raipur,rainfall,gfs,0.244098
Raipur,rainfall,icon,0.230736
Raipur,temperature,ecmwf,0.439375
Raipur,temperature,gem,0.164451
Raipur,temperature,gfs,0.163647
Raipur,temperature,icon,0.232527
Raipur,wind_speed,ecmwf,0.442168
Raipur,wind_speed,gem,0.176649
