city,variable,lead_days,model,weight
Agartala,rainfall,1,ecmwf,0.324663
Agartala,rainfall,1,gem,0.211958
Agartala,rainfall,1,gfs,0.145586
Agartala,rainfall,1,icon,0.317793
Agartala,rainfall,2,ecmwf,0.291198
Agartala,rainfall,2,gem,0.134324
Agartala,rainfall,2,gfs,0.283928
Agartala,rainfall,2,icon,0.29055
Agartala,rainfall,3,ecmwf,0.291128
Agartala,rainfall,3,gem,0.150394
Agartala,rainfall,3,gfs,0.279892
Agartala,rainfall,3,icon,0.278586
Agartala,temperature,1,ecmwf,0.30868
Agartala,temperature,1,gem,0.209751
Agartala,temperature,1,gfs,0.230429
Agartala,temperature,1,icon,0.25114
Agartala,temperature,2,ecmwf,0.302683
Agartala,temperature,2,gem,0.206323
Agartala,temperature,2,gfs,0.219593
Agartala,temperature,2,icon,0.271401
Agartala,temperature,3,ecmwf,0.296848
Agartala,temperature,3,gem,0.20515
Agartala,temperature,3,gfs,0.238689
Agartala,temperature,3,icon,0.259312
Agartala,wind_speed,1,ecmwf,0.345106
Agartala,wind_speed,1,gem,0.226224
Agartala,wind_speed,1,gfs,0.248513
Agartala,wind_speed,1,icon,0.180156
Agartala,wind_speed,2,ecmwf,0.333025
Agartala,wind_speed,2,gem,0.222238
Agartala,wind_speed,2,gfs,0.264634
Agartala,wind_speed,2,icon,0.180103
Agartala,wind_speed,3,ecmwf,0.31239
Agartala,wind_speed,3,gem,0.221982
Agartala,wind_speed,3,gfs,0.280094
Agartala,wind_speed,3,icon,0.185534
Agra,rainfall,1,ecmwf,0.259688
Agra,rainfall,1,gem,0.230714
Agra,rainfall,1,gfs,0.243196
Agra,rainfall,1,icon,0.266402
Agra,rainfall,2,ecmwf,0.315365
Agra,rainfall,2,gem,0.274464
Agra,rainfall,2,gfs,0.266233
Agra,rainfall,2,icon,0.143938
Agra,rainfall,3,ecmwf,0.254369
Agra,rainfall,3,gem,0.250059
Agra,rainfall,3,gfs,0.292911
Agra,rainfall,3,icon,0.202662
Agra,temperature,1,ecmwf,0.338069
Agra,temperature,1,gem,0.208761
Agra,temperature,1,gfs,0.139654
Agra,temperature,1,icon,0.313516
Agra,temperature,2,ecmwf,0.337155
Agra,temperature,2,gem,0.223676
Agra,temperature,2,gfs,0.158566
Agra,temperature,2,icon,0.280603
Agra,temperature,3,ecmwf,0.315378
Agra,temperature,3,gem,0.226011
Agra,temperature,3,gfs,0.187258
Agra,temperature,3,icon,0.271353
Agra,wind_speed,1,ecmwf,0.317248
Agra,wind_speed,1,gem,0.221958
Agra,wind_speed,1,gfs,0.169549
Agra,wind_speed,1,icon,0.291245
Agra,wind_speed,2,ecmwf,0.315031
Agra,wind_speed,2,gem,0.242925
Agra,wind_speed,2,gfs,0.158863
Agra,wind_speed,2,icon,0.28318
Agra,wind_speed,3,ecmwf,0.321726
Agra,wind_speed,3,gem,0.258313
Agra,wind_speed,3,gfs,0.148644
Agra,wind_speed,3,icon,0.271316
Ahmedabad,rainfall,1,ecmwf,0.278138
Ahmedabad,rainfall,1,gem,0.318781
Ahmedabad,rainfall,1,gfs,0.239758
Ahmedabad,rainfall,1,icon,0.163323
Ahmedabad,rainfall,2,ecmwf,0.26027
Ahmedabad,rainfall,2,gem,0.259351
Ahmedabad,rainfall,2,gfs,0.308756
Ahmedabad,rainfall,2,icon,0.171623
Ahmedabad,rainfall,3,ecmwf,0.239619
Ahmedabad,rainfall,3,gem,0.265525
Ahmedabad,rainfall,3,gfs,0.289195
Ahmedabad,rainfall,3,icon,0.205662
Ahmedabad,temperature,1,ecmwf,0.291103
Ahmedabad,temperature,1,gem,0.188227
Ahmedabad,temperature,1,gfs,0.202771
Ahmedabad,temperature,1,icon,0.317898
Ahmedabad,temperature,2,ecmwf,0.297332
Ahmedabad,temperature,2,gem,0.19091
Ahmedabad,temperature,2,gfs,0.221105
Ahmedabad,temperature,2,icon,0.290653
Ahmedabad,temperature,3,ecmwf,0.294061
Ahmedabad,temperature,3,gem,0.19026
Ahmedabad,temperature,3,gfs,0.227878
Ahmedabad,temperature,3,icon,0.287801
Ahmedabad,wind_speed,1,ecmwf,0.306026
Ahmedabad,wind_speed,1,gem,0.213581
Ahmedabad,wind_speed,1,gfs,0.118179
Ahmedabad,wind_speed,1,icon,0.362214
Ahmedabad,wind_speed,2,ecmwf,0.291487
Ahmedabad,wind_speed,2,gem,0.222414
Ahmedabad,wind_speed,2,gfs,0.116967
Ahmedabad,wind_speed,2,icon,0.369132
Ahmedabad,wind_speed,3,ecmwf,0.257694
Ahmedabad,wind_speed,3,gem,0.240004
Ahmedabad,wind_speed,3,gfs,0.119913
Ahmedabad,wind_speed,3,icon,0.382389
Amritsar,rainfall,1,ecmwf,0.343402
Amritsar,rainfall,1,gem,0.158512
Amritsar,rainfall,1,gfs,0.197308
