city,variable,model,mae,rmse,bias,n
Agartala,rainfall,ecmwf,0.2774,0.7095,0.0113,1008
Agartala,rainfall,gem,0.7402,1.6988,-0.0906,1008
Agartala,rainfall,gfs,0.4589,1.0529,0.1954,1008
Agartala,rainfall,icon,0.4372,0.9873,0.2021,1008
Agartala,temperature,ecmwf,0.4222,0.5671,-0.2742,1008
Agartala,temperature,gem,0.9797,1.3359,0.2973,1008
Agartala,temperature,gfs,0.9017,1.1481,0.4618,1008
Agartala,temperature,icon,1.0755,1.3328,-0.911,1008
Agartala,wind_speed,ecmwf,1.1148,1.5799,0.0303,1008
Agartala,wind_speed,gem,3.1835,3.8903,2.4194,1008
Agartala,wind_speed,gfs,2.4661,3.1867,-1.2393,1008
Agartala,wind_speed,icon,5.0234,5.6649,4.9204,1008
Agra,rainfall,ecmwf,0.2178,0.5362,-0.0027,1008
Agra,rainfall,gem,0.6555,2.3531,-0.1154,1008
Agra,rainfall,gfs,0.3955,0.9534,0.1035,1008
Agra,rainfall,icon,0.6256,1.1904,-0.2698,1008
Agra,temperature,ecmwf,0.3807,0.6204,-0.0868,1008
Agra,temperature,gem,1.6354,2.0783,1.0912,1008
Agra,temperature,gfs,2.1133,2.5563,-1.8192,1008
Agra,temperature,icon,0.8831,1.226,-0.1685,1008
Agra,wind_speed,ecmwf,1.477,2.0879,0.0145,1008
Agra,wind_speed,gem,3.846,5.0285,-2.1425,1008
Agra,wind_speed,gfs,4.6456,5.7567,-3.6073,1008
Agra,wind_speed,icon,2.6016,3.238,1.5909,1008
Ahmedabad,rainfall,ecmwf,0.2765,1.2461,-0.0366,1008
Ahmedabad,rainfall,gem,0.5621,1.9808,-0.0014,1008
Ahmedabad,rainfall,gfs,0.5204,2.319,0.0089,1008
Ahmedabad,rainfall,icon,0.6221,3.1207,-0.1701,1008
Ahmedabad,temperature,ecmwf,0.4365,0.6439,0.2411,1008
Ahmedabad,temperature,gem,1.1749,1.5269,0.9082,1008
Ahmedabad,temperature,gfs,1.4316,1.7052,-1.2467,1008
Ahmedabad,temperature,icon,0.6568,0.8783,-0.1229,1008
Ahmedabad,wind_speed,ecmwf,1.4851,1.9675,-0.872,1008
Ahmedabad,wind_speed,gem,3.5557,4.52,-2.79,1008
Ahmedabad,wind_speed,gfs,7.0079,7.8016,-6.9115,1008
Ahmedabad,wind_speed,icon,2.1628,2.7745,1.5539,1008
Amritsar,rainfall,ecmwf,0.2372,0.7744,-0.0019,1008
Amritsar,rainfall,gem,0.6887,3.2679,-0.2558,1008
Amritsar,rainfall,gfs,0.3802,1.3007,0.1206,1008
Amritsar,rainfall,icon,0.4432,1.2875,-0.0332,1008
Amritsar,temperature,ecmwf,0.4097,0.5712,0.1298,1008
