city,variable,lead_days,model,mae,rmse,bias,n
Agartala,rainfall,1,ecmwf,0.4714,1.0037,0.0577,1008
Agartala,rainfall,1,gem,0.6655,1.5374,0.0222,1008
Agartala,rainfall,1,gfs,0.5581,2.2383,0.1218,1008
Agartala,rainfall,1,icon,0.4241,1.0254,0.2842,1008
Agartala,rainfall,2,ecmwf,0.4532,1.0311,0.1411,1008
Agartala,rainfall,2,gem,0.8282,2.2353,-0.1232,1008
Agartala,rainfall,2,gfs,0.4545,1.0575,0.2997,1008
Agartala,rainfall,2,icon,0.4479,1.0334,0.2703,1008
Agartala,rainfall,3,ecmwf,0.4391,0.984,0.1607,1008
Agartala,rainfall,3,gem,0.8623,1.9048,-0.2083,1008
Agartala,rainfall,3,gfs,0.4361,1.0235,0.2988,1008
Agartala,rainfall,3,icon,0.4361,1.0283,0.2923,1008
Agartala,temperature,1,ecmwf,0.7129,0.9912,0.2821,1008
Agartala,temperature,1,gem,1.1029,1.4587,0.5688,1008
Agartala,temperature,1,gfs,1.064,1.3278,0.6979,1008
Agartala,temperature,1,icon,0.932,1.2183,-0.618,1008
Agartala,temperature,2,ecmwf,0.8056,1.101,0.3472,1008
Agartala,temperature,2,gem,1.2117,1.6152,0.7629,1008
Agartala,temperature,2,gfs,1.1889,1.5176,0.8179,1008
Agartala,temperature,2,icon,0.9279,1.2279,-0.557,1008
Agartala,temperature,3,ecmwf,0.8675,1.1627,0.2345,1008
Agartala,temperature,3,gem,1.2691,1.6824,0.8519,1008
Agartala,temperature,3,gfs,1.1548,1.446,0.7187,1008
Agartala,temperature,3,icon,1.0054,1.331,-0.5937,1008
Agartala,wind_speed,1,ecmwf,2.2905,2.9111,-1.3534,1008
Agartala,wind_speed,1,gem,3.6216,4.4409,2.649,1008
Agartala,wind_speed,1,gfs,3.1068,4.0426,-1.8814,1008
Agartala,wind_speed,1,icon,4.8593,5.5765,4.4875,1008
Agartala,wind_speed,2,ecmwf,2.5457,3.219,-1.2628,1008
Agartala,wind_speed,2,gem,3.7811,4.8237,2.6348,1008
Agartala,wind_speed,2,gfs,3.15,4.0509,-1.6006,1008
Agartala,wind_speed,2,icon,5.1914,5.9522,4.7684,1008
Agartala,wind_speed,3,ecmwf,2.8378,3.6312,-0.6934,1008
Agartala,wind_speed,3,gem,4.1114,5.1101,3.1112,1008
Agartala,wind_speed,3,gfs,3.2035,4.0499,-1.0517,1008
Agartala,wind_speed,3,icon,5.3083,6.114,4.803,1008
Agra,rainfall,1,ecmwf,0.4812,1.1944,-0.0667,1008
Agra,rainfall,1,gem,0.5135,1.3444,-0.0135,1008
